id,title,start,end,category,labels,rank,local_rank,phq_attendance,location,duration,place_hierarchies,updated
76C2mLNwsS5KUsidZv,NIFF YEAR 10 September 2nd to the 7th,2025-09-02T14:00:00Z,2025-09-08T03:00:00Z,festivals,,48,61,802.0,[-74.1964629  40.7335604],478800,"[array(['6295630', '6255149', '6252001', '5101760', '5097707', '5101815',
        '5101798'], dtype=object)                                        ]",2025-09-03T14:08:24Z
ATzET4Jgd5fjBvZzoj,20th Annual Martha's Vineyard International Film Festival,2025-09-02T20:00:00Z,2025-09-08T02:00:00Z,festivals,,49,82,869.0,[-70.59806  41.45242],453600,"[array(['6295630', '6255149', '6252001', '6254926', '4935156', '4953063',
        '4953938'], dtype=object)
 array(['6295630', '6255149', '6252001', '6254926', '4935156', '4935661',
        '4935645'], dtype=object)                                        ]",2025-08-10T03:49:30Z
3tW5HKQ9YM4fLzdFxR,Downtown Toms River Farmers' Market - September,2025-09-03T04:00:00Z,2025-09-25T03:59:59Z,festivals,,56,81,2000.0,[-74.197594  39.951222],1900799,"[array(['6295630', '6255149', '6252001', '5101760', '4503355', '4501554',
        '4504476'], dtype=object)                                        ]",2025-06-23T01:46:41Z
7MdDMxZ8PM9b9Q5X9J,Charlotte Frontier Days Festival,2025-09-03T04:00:00Z,2025-09-08T03:59:59Z,festivals,,83,100,45000.0,[-84.83294487  42.54904236],431999,"[array(['6295630', '6255149', '6252001', '5001836', '4991746', '4988615',
        '4988584'], dtype=object)                                        ]",2025-08-03T04:24:03Z
9uAoNAhZjqNsxCnBDB,Rutherford Farmer's Market - September,2025-09-03T04:00:00Z,2025-09-28T03:59:59Z,festivals,,54,70,1500.0,[-74.111834  40.828658],2159999,"[array(['6295630', '6255149', '6252001', '5101760', '5095598', '5103592',
        '5103580'], dtype=object)
 array(['6295630', '6255149', '6252001', '5101760', '5095598', '5098719',
        '5098706'], dtype=object)                                        ]",2025-08-04T01:13:45Z
CYQyqbR8ytGQrLZ9H2,Fulton Street Farmers Market - Main Season September,2025-09-03T04:00:00Z,2025-09-28T03:59:59Z,festivals,,54,74,1659.0,[-85.640597  42.962946],2159999,"[array(['6295630', '6255149', '6252001', '5001836', '4998005', '4994364',
        '4994358'], dtype=object)                                        ]",2025-08-04T01:03:39Z
CasHFTUVrVgFTQbxSm,White Plains Farmers Market - September,2025-09-03T04:00:00Z,2025-09-25T03:59:59Z,festivals,,55,67,1811.0,[-73.767477  41.031369],1900799,"[array(['6295630', '6255149', '6252001', '5128638', '5144050', '5144347',
        '5144336'], dtype=object)                                        ]",2025-07-28T04:28:45Z
DzKRLeDxoZZGr9cEMf,Open Air Market - September,2025-09-03T04:00:00Z,2025-09-25T03:59:59Z,festivals,,76,100,20000.0,[-77.765608  34.321092],1900799,"[array(['6295630', '6255149', '6252001', '4482348', '4484498', '4495293',
        '4490642'], dtype=object)
 array(['6295630', '6255149', '6252001', '4482348', '4481757', '4499381',
        '4499379'], dtype=object)                                        ]",2025-05-05T02:30:35Z
HkPZUzgFsYWCmdvdjo,Walled Lake Farmers Market - September,2025-09-03T04:00:00Z,2025-09-25T03:59:59Z,festivals,,68,95,8000.0,[-83.47424484  42.53940338],1900799,"[array(['6295630', '6255149', '6252001', '5001836', '5004223', '5013966',
        '5013961'], dtype=object)
 array(['6295630', '6255149', '6252001', '5001836', '5004223', '5006180',
        '5006166'], dtype=object)                                        ]",2025-06-03T21:15:09Z
cU8CKmrCkYuCZMseYf,Handmade Market - September,2025-09-03T04:00:00Z,2025-09-18T03:59:59Z,festivals,,70,75,10000.0,[-74.048743  40.726243],1295999,"[array(['6295630', '6255149', '6252001', '5101760', '5099357', '5099154',
        '5099133'], dtype=object)
 array(['6295630', '6255149', '6252001', '5101760', '5099357', '5099835',
        '5099836'], dtype=object)                                        ]",2025-02-10T03:48:02Z
BiZ4yemQ4MFuFSuf3s,Grayslake Summer Season - September,2025-09-03T05:00:00Z,2025-09-25T04:59:59Z,festivals,,75,100,17000.0,[-88.039983  42.344155],1900799,"[array(['6295630', '6255149', '6252001', '4896861', '4898998', '4883903',
        '4894465'], dtype=object)
 array(['6295630', '6255149', '6252001', '4896861', '4898998', '4915747',
        '4915734'], dtype=object)                                        ]",2025-06-04T08:02:51Z
GMVK2uh2uZ7VDfUgek,Western Springs French Market - September,2025-09-03T05:00:00Z,2025-09-25T04:59:59Z,festivals,,56,81,2077.0,[-87.907549  41.806932],1900799,"[array(['6295630', '6255149', '6252001', '4896861', '4888671', '4900763',
        '4916161'], dtype=object)
 array(['6295630', '6255149', '6252001', '4896861', '4890213', '4902346',
        '4916288'], dtype=object)                                        ]",2025-08-04T01:15:26Z
