id,title,category,start,end,rank,local_rank,phq_attendance,location,labels,entities,duration,updated
BuccAVELP9tr63HmNV,HOPEFEST,festivals,2025-09-08T00:00:00Z,2025-09-08T04:00:00Z,48,78,814.0,[-98.1125   32.81001],,[],14400,2025-07-20T02:39:51Z
CEvawY9X3omQXiqEti,Silly Manners Secret Speakeasy Sun Sept 7th 8pm,festivals,2025-09-08T00:00:00Z,2025-09-08T02:00:00Z,31,31,114.0,[-73.9976946  40.7250632],,[],7200,2025-09-22T00:11:15Z
CTKXHaRikvvHM6C7Z8,Brownsmead Cornfeed with the Brownsmead Flats,festivals,2025-09-08T00:00:00Z,2025-09-08T02:00:00Z,36,73,200.0,[-123.5578365   46.2146563],,[],7200,2025-08-21T12:37:01Z
FaxRWBuARrx2cz4htJ,The Quorum Poets Present Featured Poet Laura Secord and Open Mic,festivals,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,44,71,482.0,[-86.74792  33.5294 ],,[],0,2025-09-07T04:51:35Z
GfwznsPAYRyECbSwbc,FREE! Open Mic Night at Trout Lake Hall,festivals,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,43,78,425.0,[-121.5394    46.00209],,[],0,2025-06-15T03:11:05Z
HnPJ6VSyqqhB6Hp9eA,Rodney Norman!,festivals,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,43,67,433.0,[-92.38831  34.76585],,[],0,2025-09-08T01:02:49Z
T477AoUoqTBGG4uXKr,Full Moon Celebration,festivals,2025-09-08T00:00:00Z,2025-09-08T01:00:00Z,34,32,154.0,[-73.9779827  40.7253003],,[],3600,2025-08-09T03:24:35Z
aVVDRwASFU3tMJon2m,Falguni Pathak Live Dandiya 2025,festivals,2025-09-08T00:00:00Z,2025-09-08T04:00:00Z,45,71,562.0,[-104.85371   39.36428],,[],14400,2025-10-07T23:32:17Z
6ipoeyV4zkoyHVGPqX,The Pride After Party!,festivals,2025-09-08T00:30:00Z,2025-09-08T00:30:00Z,39,66,289.0,[-108.57143   39.06749],,[],0,2025-10-07T00:52:09Z
5D44BvkCDc57cJCyHH,Share Your Harvest Festival at Pearl Creek!,festivals,2025-09-08T01:00:00Z,2025-09-08T01:00:00Z,43,75,445.0,[-147.81505   64.8912 ],,[],0,2025-10-07T10:30:26Z
7oZwFbbgvww4CrvgDh,Blues Night and Art Fair,festivals,2025-09-08T01:00:00Z,2025-09-08T06:30:00Z,44,59,481.0,[-118.3622126   34.1438311],,[],19800,2025-09-01T01:05:57Z
7vRQcEfQW423W63fTX,Jasmine Dennis & Cruise Control @ Rodeo 72,festivals,2025-09-08T01:00:00Z,2025-09-08T04:00:00Z,37,52,213.0,[-117.99302   33.77512],,[],10800,2025-09-08T01:37:23Z
BM7oMWUG9aUPR8g8FW,Miami Party EXPERIENCE *3HR Yacht Party + Party Bus + Nightclub,festivals,2025-09-08T01:00:00Z,2025-09-08T05:00:00Z,39,49,285.0,[-80.1867938  25.7784025],,"[{'category': 'festivals', 'description': 'Welcome to the Littest Booze Cruise/ Miami Yacht Party Experience in the 305! Unlimited Liquor* Live DJ* Food*Dancing, Hip Hop & More!!', 'entity_id': 'yE3Wids8nnReNVUSAZe83w', 'formatted_address': '401 Biscayne Boulevard, Miami, FL 33132, United States', 'labels': array(['event-group', 'festival', 'food'], dtype=object), 'name': 'Miami Party EXPERIENCE *3HR Yacht Party + Party Bus + Nightclub', 'recurring': None, 'timezone': 'America/New_York', 'type': 'event-group'}]",14400,2025-09-26T03:32:12Z
CKriHJofdAPR6tBjTb,Reunion Concert:Lande-Walker-Church-Lewis,festivals,2025-09-08T01:00:00Z,2025-09-08T01:00:00Z,42,64,386.0,[-105.08902   39.98659],,[],0,2025-07-27T03:04:19Z
CvQp99B6ns6oXCokqp,Taste Fest,festivals,2025-09-08T01:00:00Z,2025-09-08T07:00:00Z,39,59,286.0,[-87.7862   42.72623],,[],21600,2025-10-07T09:18:45Z
GVVXtSLHbSZS4SU7ZN,Sander Pinheiro Quartet,festivals,2025-09-08T01:00:00Z,2025-09-08T01:00:00Z,41,62,362.0,[-97.71479  30.25811],,[],0,2025-08-17T03:48:50Z
hhqVK79HesTLkwS4DY,"Good Time Charlie at Colonial Oak Music Park, Sun 9/7 at 9pm",festivals,2025-09-08T01:00:00Z,2025-09-08T01:00:00Z,45,68,533.0,[-81.31305  29.89669],,[],0,2025-09-07T04:05:54Z
4GmRduGuFUC55p3JEy,"Society Hall Hosts Fundraiser for HDMG with Pat Byrne, Susan Gibson, Walt Wilkins and Don Richmond!",festivals,2025-09-08T01:30:00Z,2025-09-08T01:30:00Z,48,76,819.0,[-105.8699    37.46907],,[],0,2025-07-27T02:50:05Z
FYuzRJBWhwywBwiQSk,District 909 Acoustic Duo @123 Farm Lavender Nights,festivals,2025-09-08T01:30:00Z,2025-09-08T03:30:00Z,41,67,354.0,[-116.94378   33.96802],,[],7200,2025-10-07T01:35:34Z
HjQvJfif4mPSuf9WiB,Soul Fair: A Mental Health Pop-Up,festivals,2025-09-08T01:30:00Z,2025-09-08T03:30:00Z,40,60,299.0,[-119.013248   35.376411],,[],7200,2025-09-04T10:59:09Z
K5WWvP9UaYb6z42y3B,Healing service for your medical conditions,festivals,2025-09-08T01:30:00Z,2025-09-08T04:00:00Z,28,50,84.0,[-122.324361    47.7405898],,"[{'category': 'festivals', 'description': 'Do you have medical conditions and you want to be healed? Come to our healing service. Jesus wants to heal you and makes you whole again.', 'entity_id': '34TGSjjYhiNfj2mQLi2T2LG', 'formatted_address': '15415 5th Avenue Northeast, Shoreline, WA 98155, United States', 'labels': array(['event-group', 'festival', 'health'], dtype=object), 'name': 'Healing service for your medical conditions', 'recurring': None, 'timezone': 'America/Los_Angeles', 'type': 'event-group'}]",9000,2025-08-08T18:31:41Z
6rnUCEgoGfAAmB53cu,NICK & SHAE @ OSF GREEN SHOW,festivals,2025-09-08T01:45:00Z,2025-09-08T02:30:00Z,34,59,152.0,[-122.71454   42.19661],,[],2700,2025-09-07T05:07:39Z
7t9Ct4VyuLyBCusjR2,"Stevie B Presents: Spring Love Music Festival - Wheatland, CA",festivals,2025-09-08T02:00:00Z,2025-09-08T02:00:00Z,41,59,351.0,[-121.50115   38.58134],,[],0,2025-07-09T08:34:58Z
EYkgaTeZLNCMLgc9wb,82 Deluxe | Sunday Night,festivals,2025-09-08T02:00:00Z,2025-09-08T06:30:00Z,39,63,291.0,[-120.642   35.14 ],,[],16200,2025-10-07T20:46:20Z
5XHSngSxr9CBdtBiko,Klezmer Starts Here! A Benefit for La Resistencia,festivals,2025-09-08T02:30:00Z,2025-09-08T02:30:00Z,40,59,305.0,[-122.28396   47.55676],,[],0,2025-08-17T02:38:37Z
4CNVbqBYuqkiqqQGGw,Peddler's Village Scarecrows in the Village,festivals,2025-09-08T04:00:00Z,2025-10-27T03:59:59Z,67,100,7000.0,[-75.029855  40.347589],,"[{'category': 'festivals', 'description': None, 'entity_id': '32RXAnJ26RQU7YUFtNuwgid', 'formatted_address': '2400 Street Rd, New Hope, PA 18938, USA', 'labels': array(['event-group', 'festival', 'recurring'], dtype=object), 'name': 'Peddlers Village Scarecrows', 'recurring': {'ical': 'DTSTART;VALUE=DATE-TIME:20240909T000000\nRRULE:FREQ=YEARLY;INTERVAL=1'}, 'timezone': None, 'type': 'event-group'}]",4233599,2025-09-28T03:45:29Z
8a6nMyaWYAqyi9HBQe,Tampa Bay Fall Job Fair,festivals,2025-09-08T04:00:00Z,2025-09-09T03:59:59Z,60,79,3000.0,[-82.64109871  27.77677059],,[],86399,2025-09-30T20:24:26Z
BLt99UEbubYJLfhxdT,THMPR live at St. Johns Music Festival,festivals,2025-09-08T04:00:00Z,2025-09-08T04:00:00Z,39,59,275.0,[-122.75525   45.59105],,[],0,2025-09-07T03:12:22Z
DykixeJX3YBQZ7pU3X,Wyandot County Fair,festivals,2025-09-08T04:00:00Z,2025-09-14T03:59:59Z,76,100,20000.0,[-83.2793204   40.84473109],,[],518399,2025-08-06T22:21:22Z
GCtBGyzbKGyXub4SaA,Washington County Fair,festivals,2025-09-08T04:00:00Z,2025-09-14T03:59:59Z,80,100,31000.0,[-82.01599498  36.70016895],,[],518399,2025-06-03T21:14:08Z
43cU7k4tuHBdEQCctz,North Alabama State Fair,festivals,2025-09-08T05:00:00Z,2025-09-15T04:59:59Z,77,100,23000.0,[-87.6650844   34.71888396],,[],604799,2025-08-06T22:22:13Z
9w5T6sJ5i7KFFBUC7H,Kay County Free Fair,festivals,2025-09-08T05:00:00Z,2025-09-15T04:59:59Z,82,100,40000.0,[-97.28145526  36.79723345],,[],604799,2025-08-20T22:32:30Z
CfyUfDzchCYUXiYXmS,Henderson County Free Fair,festivals,2025-09-08T05:00:00Z,2025-09-14T04:59:59Z,88,100,80000.0,[-88.39301457  35.64671911],,"[{'category': 'festivals', 'description': None, 'entity_id': 'gL6kBjeWYcfEDU5wM7xUQY', 'formatted_address': '25 Fairgrounds Dr, Lexington, TN 38351, USA', 'labels': array(['event-group', 'festival', 'recurring'], dtype=object), 'name': 'Henderson County Fair', 'recurring': {'ical': 'DTSTART;VALUE=DATE-TIME:20230911T000000\nRRULE:FREQ=YEARLY;INTERVAL=1'}, 'timezone': None, 'type': 'event-group'}]",518399,2025-09-21T00:31:56Z
CnbMwNVrxLryuD5bUn,111th Annual Belmont School and Community Fair,festivals,2025-09-08T05:00:00Z,2025-09-15T04:59:59Z,55,88,1773.0,[-90.32621  42.74266],,[],604799,2025-07-27T02:16:12Z
GY8j7DUHPQ6S2hq8QC,Golf Classic,festivals,2025-09-08T07:00:00Z,2025-09-09T06:59:59Z,38,66,250.0,[-120.813282   37.781994],,[],86399,2025-08-11T00:52:56Z
Er5s57bHPtTHhjovkN,Everri Jewelry Sample Sale - by appointment,festivals,2025-09-08T14:00:00Z,2025-09-08T14:30:00Z,34,35,162.0,[-73.9938181  40.7448054],,"[{'category': 'festivals', 'description': 'Shop the Everri Sample Sale – limited-time jewelry deals, cool AC, and exclusive time slots. Book now before they fill up!', 'entity_id': 'cjSrdai8AWxSUCw4779Xzj', 'formatted_address': '150 West 25th Street #8th floor, New York, NY 10001, United States', 'labels': array(['event-group', 'festival'], dtype=object), 'name': 'Everri Jewelry Sample Sale - by appointment', 'recurring': None, 'timezone': 'America/New_York', 'type': 'event-group'}]",1800,2025-09-07T06:08:28Z
4Dw9q9ac96QgmpYjkp,South Gate Certified Farmers Market,festivals,2025-09-08T15:30:00Z,2025-09-08T20:30:00Z,40,53,307.0,[-118.18367815   33.94206025],,"[{'category': 'festivals', 'description': None, 'entity_id': '8k8kku8CwsfC3q5hEARpr9', 'formatted_address': None, 'labels': array(['community', 'event-group', 'festival'], dtype=object), 'name': 'South Gate Certified Farmers Market', 'recurring': None, 'timezone': 'America/Los_Angeles', 'type': 'event-group'}]",18000,2025-12-01T22:32:42Z
