artist_name,artist_popularity,artist_followers,lastfm_listeners,lastfm_playcount,github_events_2016,github_avg_price,github_sellout_rate,num_years_active
Gryffin,66.0,1010217.0,688422.0,15973881.0,4.0,146.78,0.0,
HELLYEAH,49.0,764106.0,391807.0,6709722.0,2.0,78.4625,0.0,
Halsey,80.0,22392682.0,2672502.0,210709197.0,6.0,1255.8483333333334,0.0,2.0
Hippie Sabotage,65.0,1071057.0,671587.0,11003943.0,4.0,90.24,0.0,6.0
Hunter Hayes,53.0,1214595.0,406797.0,6434033.0,1.0,132.065,0.0,16.0
Iggy Pop,64.0,1785619.0,2219234.0,43812629.0,9.0,600.9483333333333,0.0,56.0
James Bay,67.0,4106573.0,1225723.0,25701219.0,4.0,334.38,0.0,3.0
Janet Jackson,66.0,4095156.0,2202894.0,62440957.0,9.0,1052.2022222222222,0.0,43.0
Jason Aldean,74.0,7052478.0,1059336.0,21976929.0,1.0,782.545,0.0,
John Carpenter,57.0,158739.0,439730.0,6043900.0,1.0,248.89,0.0,46.0
Josh Turner,64.0,2716219.0,733669.0,8411872.0,1.0,135.89,0.0,22.0
Justin Bieber,91.0,85008100.0,4547346.0,291941368.0,19.0,4911.543157894736,0.0,8.0
KALEO,70.0,2044434.0,1162945.0,20042091.0,2.0,100.2925,0.0,4.0
Keith Urban,67.0,5273501.0,1094779.0,20054868.0,3.0,1188.4483333333335,0.0,26.0
Kenny Chesney,69.0,4887584.0,1175730.0,22119627.0,2.0,2782.025,0.0,23.0
Lil Uzi Vert,82.0,19255400.0,2582677.0,397840618.0,1.0,597.54,0.0,
Logic,71.0,6141719.0,1676709.0,101499472.0,7.0,521.5342857142857,0.0,14.0
Lord Huron,76.0,2166012.0,2200562.0,67849164.0,1.0,89.00999999999999,0.0,
Loreena McKennitt,52.0,564181.0,590748.0,20418549.0,3.0,198.345,0.0,
Ludacris,76.0,3428625.0,2548597.0,30186147.0,1.0,141.55,0.0,19.0
Lukas Graham,69.0,2945445.0,1138104.0,15695149.0,10.0,175.44299999999998,0.0,6.0
Luke Bryan,74.0,9406293.0,1100649.0,24941410.0,1.0,446.91,0.0,
Lupe Fiasco,66.0,1984196.0,2865768.0,71775550.0,1.0,114.205,0.0,16.0
Mac DeMarco,79.0,7990625.0,3093450.0,321079465.0,7.0,272.69928571428574,0.0,8.0
Maroon 5,85.0,45764832.0,6426154.0,271538457.0,5.0,2394.708,0.0,22.0
Marshmello,80.0,34476607.0,2455504.0,65051228.0,3.0,130.94166666666666,0.0,
Martin Garrix,74.0,15121684.0,1999736.0,49240577.0,1.0,213.57,0.0,5.0
Melanie Martinez,75.0,22219090.0,2165366.0,225085405.0,7.0,147.17285714285714,0.0,4.0
Metric,61.0,919870.0,2730018.0,108018664.0,2.0,95.64,0.0,18.0
Migos,74.0,14636928.0,1792761.0,67947225.0,2.0,76.595,0.0,7.0
Mike Posner,67.0,1525672.0,2411099.0,31745202.0,1.0,100.085,0.0,
Mint Condition,52.0,852150.0,447239.0,4121954.0,1.0,184.16,0.0,
Mitski,78.0,11034315.0,3079040.0,609158788.0,1.0,59.49,0.0,
Moderat,54.0,763143.0,730752.0,32334190.0,4.0,1330.50875,0.0,14.0
Mura Masa,58.0,701462.0,1122661.0,22315603.0,1.0,104.47,0.0,3.0
Nicky Jam,81.0,20568367.0,994957.0,14459249.0,1.0,129.06,0.0,22.0
OMI,63.0,690311.0,1064834.0,8400194.0,1.0,84.505,0.0,
Oh Wonder,64.0,1093423.0,894361.0,22502527.0,4.0,185.89875,0.0,2.0
Parov Stelar,60.0,1106316.0,1168224.0,48987220.0,4.0,97.85625,0.0,12.0
Pearl Jam,75.0,9918220.0,4241132.0,245350452.0,9.0,57739.36444444445,0.0,26.0
Purity Ring,52.0,603022.0,887322.0,34420807.0,1.0,1030.74,0.0,
Rachel Platten,58.0,1007753.0,546343.0,5887781.0,6.0,134.7675,0.0,13.0
Rakim,55.0,1017891.0,630865.0,6155125.0,2.0,114.16,0.0,32.0
Randy Newman,59.0,267614.0,1012113.0,13124612.0,1.0,87.64500000000001,0.0,
Rascal Flatts,68.0,3672166.0,1659359.0,27236921.0,1.0,246.59,0.0,
Rihanna,90.0,68997177.0,8051653.0,561863025.0,11.0,2161.776363636364,0.0,11.0
Rudimental,67.0,1409881.0,1233894.0,21429472.0,3.0,114.44666666666669,0.0,4.0
SZA,87.0,33029522.0,3346074.0,554094516.0,1.0,61.17,0.0,
Santigold,63.0,802820.0,1330073.0,25639972.0,11.0,162.26636363636365,0.0,13.0
Savages,26.0,13493.0,322323.0,5572188.0,10.0,119.888,0.0,6.0
Scorpions,73.0,8602427.0,2746678.0,85362299.0,1.0,231.085,0.0,
Selena Gomez,81.0,53260584.0,3047691.0,195959833.0,11.0,1285.765909090909,0.0,8.0
Shawn Mendes,81.0,45700057.0,2583818.0,134126841.0,3.0,1770.386666666667,0.0,3.0
SoMo,55.0,705196.0,313094.0,3473032.0,1.0,57.815,0.0,7.0
Tame Impala,84.0,9509731.0,4032617.0,373409638.0,1.0,590.575,0.0,9.0
The 1975,76.0,7959873.0,2544540.0,283784214.0,7.0,252.12071428571429,0.0,14.0
The Band Perry,55.0,1615133.0,726601.0,7203914.0,1.0,153.39,0.0,11.0
The Game,70.0,5199185.0,3043259.0,52677442.0,1.0,115.25,0.0,14.0
The Heavy,58.0,488277.0,834258.0,14353471.0,2.0,165.4925,0.0,9.0
The Kills,47.0,691440.0,1423047.0,51543543.0,8.0,152.475,0.0,16.0
The Last Shadow Puppets,57.0,1206124.0,1582541.0,62804270.0,4.0,166.77125,0.0,9.0
The Lumineers,76.0,5903211.0,2504664.0,88006194.0,4.0,483.65875,0.0,14.0
The Neighbourhood,83.0,21591569.0,3761014.0,362265681.0,11.0,194.53,0.0,23.0
The Smashing Pumpkins,73.0,6082676.0,4410858.0,245145441.0,14.0,766.1385714285714,0.0,28.0
The Struts,58.0,435937.0,507037.0,7705204.0,2.0,67.4,0.0,
The Temptations,65.0,3282964.0,2306661.0,24822057.0,1.0,109.16,0.0,
The Used,60.0,1304494.0,1834532.0,90008010.0,15.0,133.03333333333333,0.0,15.0
The Wombats,61.0,1110794.0,2023625.0,64058621.0,4.0,91.5125,0.0,13.0
Tinashe,76.0,3083443.0,1532074.0,81157912.0,10.0,83.5765,0.0,6.0
Troye Sivan,72.0,9463490.0,2337971.0,161127157.0,3.0,127.72,0.0,
Twenty One Pilots,83.0,25759662.0,3150653.0,390643626.0,8.0,2529.250625,0.0,7.0
Van Morrison,69.0,3597735.0,2614998.0,59016127.0,2.0,1175.4375,0.0,58.0
Vance Joy,74.0,3482109.0,2335050.0,47761410.0,7.0,324.6592857142858,0.0,3.0
Waka Flocka Flame,69.0,2857175.0,1683131.0,18759824.0,3.0,226.77666666666667,0.0,7.0
Wolf Alice,65.0,857859.0,1195943.0,53476050.0,4.0,80.565,0.0,6.0
Wolfmother,56.0,1013775.0,2039814.0,44331524.0,6.0,96.44333333333331,0.0,12.0
X Ambassadors,69.0,3108097.0,1096253.0,16596268.0,7.0,201.0107142857143,0.0,7.0
Young Thug,84.0,12418681.0,1799459.0,180648034.0,1.0,80.16,0.0,5.0
