artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration,lastfm_listeners,lastfm_playcount,plays_per_listener,lastfm_tag_1
Aaliyah,64.0,5034992.0,50.0,1,0.0,4.427766666666667,1963603.0,40202813.0,20.474002636989248,RnB
Aaron Tippin,49.0,669005.0,47.0,2,0.0,2.967,142372.0,1246173.0,8.752935970556008,Country
Aaryan Shah,58.0,343014.0,2.0,1,1.0,3.7096,318659.0,4296527.0,13.483149699208244,contemporary RnB
Abeer Nehme,50.0,247771.0,38.0,1,0.0,3.8813333333333335,16055.0,227965.0,14.199003425724074,Syriac
Adam Hicks,50.0,52929.0,58.5,2,0.0,3.378216666666667,332786.0,3215841.0,9.66339028685101,Rap
Adam Lambert,57.0,1638163.0,61.0,1,0.0,3.788666666666667,1233932.0,41259103.0,33.437096209515595,Pop
Adam Levine,71.0,1063656.0,56.0,1,0.0,4.464216666666666,339550.0,3375793.0,9.941961419525844,Pop
Adam Port,71.0,334659.0,82.0,1,0.0,2.959966666666667,441207.0,3888591.0,8.813529703744502,House
Adam Skorupa,42.0,17017.0,36.66666666666666,3,0.0,3.247916666666667,130770.0,2847208.0,21.77263898447656,Soundtrack
Adam Taylor,29.0,6929.0,34.0,1,0.0,1.5917666666666668,53169.0,354373.0,6.665030374842483,Soundtrack
Addison Rae,74.0,1364231.0,71.1,10,0.0,3.264448333333333,1288555.0,89190437.0,69.21740787160812,Pop
Adele,83.0,66705650.0,58.270833333333336,48,0.0208333333333333,4.504882986111111,5467041.0,308395975.0,56.4100351543001,soul
Adrian Von Ziegler,47.0,171819.0,39.0,1,0.0,3.33235,144060.0,3787412.0,26.290517839788976,neoclassical
Adrianne Lenker,72.0,1453910.0,71.75,4,0.0,3.1726666666666663,1245719.0,102086971.0,81.95023998188998,singer-songwriter
Adrián Berenguer,49.0,120556.0,0.0,1,0.0,3.075,75700.0,649395.0,8.578533685601057,Soundtrack
Aerosmith,75.0,16040003.0,34.42857142857143,14,0.0,4.440247619047619,4613733.0,127931919.0,27.72850509554844,hard rock
Aftertheparty,40.0,148074.0,41.0,1,1.0,3.78765,88850.0,2326571.0,26.185379853685987,indie
Agnes Obel,58.0,926140.0,60.0,2,0.0,4.91055,948293.0,27214609.0,28.69852355759243,folk
Ahmed Saad,61.0,6371210.0,42.66666666666666,9,0.0,4.014611111111112,52160.0,693913.0,13.303546779141104,egyptian
Aidan Bissett,52.0,188111.0,60.0,1,0.0,3.0502,395719.0,5179085.0,13.0877845137585,singer-songwriter
Aimee Mann,48.0,265205.0,57.0,1,0.0,4.574883333333333,994223.0,21820152.0,21.946939469314227,female vocalists
Akon,81.0,6002343.0,56.25,4,0.75,3.896825,3611006.0,58763301.0,16.27338780384192,RnB
Alabama 3,43.0,72674.0,0.0,1,0.0,4.065766666666667,319050.0,4570129.0,14.324178028522176,alternative
Alaina Castillo,46.0,173084.0,38.0,2,0.0,3.6448583333333335,265681.0,3111150.0,11.710095942126085,Pop
Alan Jackson,72.0,3371242.0,67.5,4,0.0,3.3186625,1048891.0,18487428.0,17.6256903720215,Country
Alan Silvestri,57.0,327164.0,42.8,5,0.0,2.3867933333333333,824127.0,13360107.0,16.211223512880903,Soundtrack
Alan Walker,78.0,41264069.0,50.8125,16,0.125,3.072864583333333,1681154.0,44582320.0,26.518879293628068,Electronic
Alanis Morissette,67.0,3178420.0,0.0,1,1.0,3.636216666666667,2747869.0,78768570.0,28.665329387973006,female vocalists
Alec Benjamin,72.0,5576552.0,75.66666666666667,3,0.0,3.1653777777777776,1305266.0,50468081.0,38.66497786658045,Pop
Alek Olsen,57.0,136639.0,75.0,1,0.0,1.5791666666666666,478846.0,7925788.0,16.551851743566825,Norway
Alessandro Alessandroni,41.0,26142.0,32.0,1,0.0,1.3408833333333334,253458.0,2054499.0,8.105875529673556,Soundtrack
Alessia Cara,72.0,12274170.0,46.2,15,0.0,3.6374166666666654,1663755.0,35593507.0,21.39347860712665,Pop
Alesso,72.0,4034025.0,56.75,4,0.0,3.2143333333333333,1387885.0,22549763.0,16.247573105840903,House
Aleta,28.0,2055.0,21.0,1,0.0,3.972,8066.0,75442.0,9.353087031986114,Unknown
Alex Clare,51.0,502300.0,59.0,1,0.0,4.276,765100.0,10890444.0,14.234013854398118,dubstep
Alex G,74.0,3541646.0,35.0,3,0.6666666666666666,3.330722222222222,1951584.0,233740610.0,119.76968964697394,Lo-Fi
Alex Serra,50.0,143740.0,51.0,1,0.0,4.2039333333333335,37803.0,349512.0,9.245615427347037,soul
Alex Warren,84.0,2880337.0,83.4,5,0.0,3.11682,819526.0,22524082.0,27.48427993742725,Pop
Alexander 23,52.0,514896.0,68.0,1,0.0,3.0773,558940.0,8265073.0,14.78704869932372,Pop
Alexander Merlin,27.0,1978.0,21.0,1,0.0,2.785516666666666,2681.0,8863.0,3.30585602387169,Unknown
Alexander Nate,45.0,28641.0,48.0,1,0.0,3.4238,14341.0,110962.0,7.737396276410292,Unknown
Alexandra Savior,45.0,316112.0,0.0,2,0.0,2.9536,532520.0,13095203.0,24.59100691053857,indie Pop
Alexandra Stan,60.0,432466.0,76.0,1,0.0,3.25175,1237348.0,12189677.0,9.851454077591752,Pop
Alexandre Desplat,62.0,344334.0,36.75,12,0.0,2.449327777777778,1140659.0,33317762.0,29.20922203743625,Soundtrack
Alexey Omelchuk,37.0,12801.0,40.0,1,0.0,1.0186166666666667,47474.0,867671.0,18.276762017104097,dark ambient
Ali Gatie,64.0,2174956.0,57.5,2,0.0,2.863025,558915.0,7878949.0,14.096864460606712,RnB
Alice Boman,37.0,47757.0,21.0,1,0.0,3.4522166666666667,188540.0,1661154.0,8.810618436406068,swedish
Alice In Chains,74.0,6243211.0,77.0,1,0.0,3.4462166666666665,3329439.0,205907731.0,61.844572313834256,Grunge
Alicia Keys,78.0,12898539.0,50.25,4,0.0,4.0598875,4086537.0,98885882.0,24.19796566139007,soul
Alien Ant Farm,58.0,1036648.0,74.0,1,0.0,3.4877666666666665,1618654.0,21259721.0,13.134197302202942,alternative rock
Alisa Okehazama,47.0,19307.0,42.0,1,0.0,1.7343166666666667,91845.0,1501463.0,16.347792476454895,instrumental
Alison Krauss,59.0,419072.0,54.0,1,0.0,4.3471,566712.0,6729049.0,11.873842445545533,bluegrass
Allie X,51.0,869651.0,25.0,2,0.0,3.4077083333333333,821031.0,38873131.0,47.34672746826856,SynthPop
Allison Amber Hage,17.0,69.0,25.0,3,0.0,2.796988888888889,483.0,715.0,1.4803312629399583,Unknown
Alok,76.0,11247155.0,65.71428571428571,7,0.1428571428571428,2.535738095238095,1177510.0,24019916.0,20.398906166401986,Electronic
Altan Urag,17.0,10611.0,24.0,1,0.0,4.590216666666667,22967.0,350185.0,15.247311359777072,mongolian
Alter Bridge,60.0,1234078.0,67.0,1,0.0,4.33265,1141970.0,45027544.0,39.42970831107648,alternative rock
Amaarae,64.0,577324.0,34.0,1,0.0,2.0658333333333334,950358.0,31126024.0,32.751893496976926,RnB
Amb1shn,19.0,139.0,37.0,1,1.0,3.0351,445.0,753.0,1.692134831460674,Unknown
Amber Run,58.0,562813.0,74.0,1,0.0,4.55,587466.0,8840544.0,15.048605366097783,indie
America,70.0,2065190.0,81.0,1,0.0,4.203983333333333,2012269.0,36359242.0,18.068778080862945,classic rock
America Allen,20.0,696.0,33.0,1,0.0,3.5764666666666667,468.0,837.0,1.7884615384615383,Unknown
American Authors,62.0,1646684.0,78.0,1,0.0,3.2373333333333334,1174910.0,13106496.0,11.155319130827042,indie
Aminé,64.0,2022764.0,66.5,2,1.0,2.7582166666666668,1444002.0,61309134.0,42.45779022466728,Rap
Amy Macdonald,63.0,538408.0,77.0,1,0.0,3.07355,1272920.0,32834223.0,25.79441206045941,female vocalists
Amy Winehouse,75.0,9747371.0,68.33333333333333,3,1.0,3.490738888888889,4491236.0,196674427.0,43.790713068740985,soul
Ana Shine,45.0,27568.0,50.25,4,0.0,2.9070333333333336,47308.0,119354.0,2.5229136721061978,Unknown
Ananya,15.0,1068.0,31.0,1,0.0,3.6369166666666666,2272.0,6773.0,2.981073943661972,Indian
Anaumali,18.0,148.0,36.0,1,0.0,4.8818166666666665,450.0,1343.0,2.984444444444444,Unknown
Andrei Krylov,40.0,25945.0,0.0,1,0.0,3.395583333333333,99841.0,1327519.0,13.296331166554822,classical guitar
Andrew Belle,54.0,256468.0,58.0,1,0.0,5.315133333333334,494207.0,7780143.0,15.742680698573675,singer-songwriter
Andy Grammer,65.0,1334256.0,50.0,3,0.0,3.303961111111111,894151.0,11753624.0,13.145010182843835,Pop
Andy Shauf,49.0,198619.0,47.0,1,0.0,3.8639666666666654,391749.0,8285337.0,21.149605997717927,folk
Ane Brun,55.0,354566.0,0.0,1,0.0,2.0808833333333334,643650.0,13976682.0,21.7147238405966,singer-songwriter
Anitta,78.0,13246794.0,66.5,2,0.0,3.2300833333333334,1144681.0,144130005.0,125.9128132641321,Pop
Anna Calvi,39.0,132370.0,31.666666666666668,3,0.0,3.981622222222222,305470.0,5693263.0,18.63771565129145,female vocalists
Anna Kendrick,62.0,390914.0,61.0,1,0.0,2.13355,654256.0,6226007.0,9.5161633978137,Pop
Anna Marx,34.0,1693.0,38.0,3,0.0,2.3960166666666667,5545.0,28186.0,5.083137962128044,Unknown
Anna of the North,61.0,286274.0,76.0,1,0.0,3.596216666666667,604477.0,7307921.0,12.089659325334132,Pop
Annalise Azadian,31.0,5701.0,32.0,1,1.0,2.862216666666667,15624.0,42150.0,2.6977726574500767,Unknown
Anne-Marie,75.0,12845551.0,73.5,2,0.5,2.710983333333333,1141474.0,19934448.0,17.463777536763867,Pop
Anson Seabra,59.0,1103242.0,62.0,1,0.0,3.6144,425202.0,10543854.0,24.79728223291518,Pop
Anthem Hits Platinum,23.0,1636.0,26.0,1,0.0,2.96475,2871.0,13027.0,4.537443399512365,Unknown
Anthony Touma,20.0,3260.0,31.0,1,0.0,2.852933333333333,3115.0,13643.0,4.379775280898876,france
Anthony Willis,35.0,5351.0,36.0,1,0.0,1.8522166666666664,82112.0,723312.0,8.808846453624318,composer
Antonin Herbeck,27.0,268.0,36.0,1,0.0,3.8924666666666665,1819.0,3244.0,1.783397471137988,Unknown
Antony Genn,25.0,2951.0,0.0,1,0.0,4.784883333333333,5310.0,37483.0,7.05894538606403,Unknown
Apollo Sunshine,26.0,8128.0,42.0,1,0.0,2.546883333333333,108168.0,997262.0,9.219565860513276,indie
Aqua,63.0,779228.0,75.0,1,0.0,3.299333333333333,1552019.0,17765919.0,11.446972620824877,Pop
Arcade Fire,62.0,2397896.0,55.0,1,0.0,4.787333333333334,3060375.0,222395975.0,72.66951762447412,indie rock
Arcane,76.0,771281.0,65.2,5,0.2,2.8579066666666666,734749.0,30507907.0,41.521535925874005,Progressive metal
Arctic Monkeys,84.0,32059138.0,79.8,10,0.0,3.58039,6879748.0,891290326.0,129.5527577463593,indie rock
Arcángel,82.0,17833538.0,69.0,1,1.0,4.26155,402889.0,12491230.0,31.00414754436085,Flamenco
Aresty.,17.0,4.0,35.0,1,0.0,2.7222166666666667,451.0,560.0,1.2416851441241683,Unknown
Ari Abdul,66.0,754907.0,54.71428571428572,7,0.4285714285714285,3.010569047619048,659689.0,14283653.0,21.65210121739183,Pop
Ari Pulkkinen,35.0,20991.0,32.0,1,0.0,3.28535,140441.0,1614339.0,11.49478428663994,Soundtrack
Ariana Grande,90.0,107374593.0,63.10891089108911,101,0.4059405940594059,3.3603948844884486,4257875.0,1022433804.0,240.1277172298388,Pop
Arizona Zervas,59.0,817341.0,74.0,1,1.0,2.7272666666666665,851111.0,12374883.0,14.53968166314382,Rap
Arlo Parks,53.0,650334.0,55.0,1,0.0,3.61555,705951.0,15336570.0,21.724694773433285,soul
