year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show,tm_events,tm_avg_price,tm_unique_artists,gross_lag1,tickets_lag1,avg_price_lag1,shows_lag1,gross_growth,ticket_growth,dma_static_strength,annual_sales_avg,avg_ticket_price_dma,annual_sales_current,strength_vs_avg,price_premium_vs_dma,sales_momentum
2025,92,Bangor,8655072,102062,84.8,0.185,12,156,721256.0,8505.166666666666,,,,1618834.0,23983.0,67.5,3.0,4.346485186251339,3.255597715048159,55.5,7.0,76.15,9.0,0.34975167502225557,1.1135915955351279,1.2857142857142858
2022,91,Baton Rouge,2002858,29995,66.77,0.0,13,94,154066.0,2307.3076923076924,,,,,,,,,,,,,,,,
2022,77,Bend,3155285,43681,72.23,0.0,10,184,315528.5,4368.1,,,,,,,,,,,,,,,,
2022,90,Billings-Hardin,2087669,39666,52.63,0.0,42,167,49706.40476190476,944.4285714285714,,,,,,,,,,,,,,,,
2025,95,Biloxi-Gulfport,8017556,99475,80.6,-0.064,43,158,186454.7906976744,2313.372093023256,,,,,,,,,,53.0,6.0,80.6,6.0,0.3339970950662981,1.0,1.0
2023,91,Biloxi-Gulfport-Pascagoula,7501476,102729,73.02,-0.05,55,160,136390.47272727272,1867.8,,,,,,,,,,,,,,,,
2024,100,Biloxi-Gulfport-Pascagoula,6803300,79021,86.09,0.18,43,157,158216.27906976745,1837.6976744186047,,,,7501476.0,102729.0,73.02,55.0,-0.0930718167997871,-0.2307819603033223,,,,,,,
2022,49,Birmingham,6512182,79847,81.56,0.0,33,45,197338.84848484848,2419.6060606060605,,,,,,,,,,,,,,,,
2023,75,Birmingham,11798574,191671,61.56,-0.25,59,45,199975.83050847455,3248.6610169491523,,,,6512182.0,79847.0,81.56,33.0,0.8117696956258287,1.4004784149686276,,,,,,,
2024,47,Birmingham,33559557,439981,76.28,0.24,170,45,197409.1588235294,2588.1235294117646,,,,11798574.0,191671.0,61.56,59.0,1.8443739896024725,1.2955011451915,,,,,,,
2025,49,Birmingham (Anniston and Tuscaloosa),42987158,570585,75.34,-0.012,201,45,213866.4577114428,2838.731343283582,,,,,,,,,,166.0,52.0,75.34,52.0,1.0461041090755752,1.0,1.0
2022,80,Boise,2851884,54764,52.08,0.0,40,101,71297.1,1369.1,,,,,,,,,,110.25,39.25,60.5475,36.0,0.6947769760577238,0.8601511210206862,0.9171974522292994
2023,45,Boise,26877242,409406,65.65,0.26,287,106,93648.9268292683,1426.5017421602788,,,,2851884.0,54764.0,52.08,40.0,8.424381216066292,6.475823533708276,110.25,39.25,60.5475,36.0,0.6947769760577238,1.0842726784755772,0.9171974522292994
2024,57,Boise,24878598,387936,64.13,-0.02,266,98,93528.56390977444,1458.406015037594,,,,26877242.0,409406.0,65.65,287.0,-0.0743619453216218,-0.0524418303591056,110.25,39.25,60.5475,36.0,0.6947769760577238,1.059168421487262,0.9171974522292994
2025,65,Boise,19804628,328283,60.33,-0.059,258,98,76762.12403100776,1272.4147286821706,,,,24878598.0,387936.0,64.13,266.0,-0.2039491936000573,-0.1537702095190959,110.25,39.25,60.5475,36.0,0.6947769760577238,0.9964077790164747,0.9171974522292994
2022,22,Boston,29270754,455608,64.25,0.0,299,10,97895.4983277592,1523.772575250836,,,,,,,,,,,,,,,,
2023,6,Boston,241196035,3007936,80.19,0.25,1756,9,137355.37300683372,1712.9476082004555,,,,29270754.0,455608.0,64.25,299.0,7.240171571938324,5.602026303313375,,,,,,,
2024,5,Boston,346992352,3881422,89.4,0.11,1843,8,188275.8285404232,2106.0347259902333,,,,241196035.0,3007936.0,80.19,1756.0,0.4386320736988898,0.2903938115704589,,,,,,,
2025,4,Boston (Manchester),400876049,4408122,90.94,0.017,2333,9,171828.5679382769,1889.4650664380624,,,,,,,,,,202.0,97.0,90.94,97.0,1.2729700604413625,1.0,1.0
2022,37,Buffalo,12890110,188629,68.34,0.0,52,53,247886.7307692308,3627.480769230769,,,,,,,,,,157.5,50.5,71.955,59.0,0.9925385372253198,0.9497602668334376,1.1683168316831682
2023,53,Buffalo,21013004,279843,75.09,0.1,99,53,212252.56565656565,2826.696969696969,,,,12890110.0,188629.0,68.34,52.0,0.6301648317974013,0.483562972819662,157.5,50.5,71.955,59.0,0.9925385372253198,1.043568897227434,1.1683168316831682
2024,70,Buffalo,18052665,310481,58.14,-0.23,84,54,214912.67857142855,3696.2023809523807,,,,21013004.0,279843.0,75.09,99.0,-0.1408812847510998,0.1094828171510453,157.5,50.5,71.955,59.0,0.9925385372253198,0.8080050031269543,1.1683168316831682
2025,42,Buffalo,51506530,597194,86.25,0.483,119,54,432827.9831932773,5018.436974789916,,,,18052665.0,310481.0,58.14,84.0,1.853126117390424,0.923447811621323,157.5,50.5,71.955,59.0,0.9925385372253198,1.1986658328121742,1.1683168316831682
2022,72,Cedar Rapids-Waterloo,3446740,71868,47.96,0.0,64,92,53855.3125,1122.9375,,,,,,,,,,,,,,,,
2023,81,Cedar Rapids-Waterloo,9379715,189316,49.55,0.03,141,90,66522.80141843972,1342.6666666666667,,,,3446740.0,71868.0,47.96,64.0,1.7213294301281792,1.634218289085546,,,,,,,
2024,97,Cedar Rapids-Waterloo,7289165,134555,54.17,0.09,93,93,78378.1182795699,1446.8279569892472,,,,9379715.0,189316.0,49.55,141.0,-0.2228799062658086,-0.289257115088001,,,,,,,
2025,88,Cedar Rapids-Waterloo-Iowa City & Dubuque,8894574,165396,53.78,-0.007,91,94,97742.57142857143,1817.5384615384612,,,,,,,,,,117.0,13.0,53.78,13.0,0.737314341938809,1.0,1.0
2022,68,Charleston,3821017,58268,65.58,0.0,40,89,95525.425,1456.7,,,,,,,,,,,,,,,,
2023,48,Charleston,24682314,339947,72.61,0.11,184,94,134143.01086956522,1847.5380434782608,,,,3821017.0,58268.0,65.58,40.0,5.4596189967226,4.834197157959772,,,,,,,
2024,61,"Charleston, SC",23279066,344799,67.51,-0.07,201,88,115816.2487562189,1715.4179104477612,,,,,,,,,,124.5,36.0,65.185,32.0,0.7845780818066813,1.0356677149650995,0.8888888888888888
2025,69,"Charleston, SC",17085281,271803,62.86,-0.069,211,85,80972.89573459716,1288.1658767772512,,,,23279066.0,344799.0,67.51,201.0,-0.266066731371439,-0.2117059504232901,124.5,36.0,65.185,32.0,0.7845780818066813,0.9643322850349006,0.8888888888888888
2022,92,Charleston-Huntington,1892492,29505,64.14,0.0,11,75,172044.72727272726,2682.2727272727275,,,,,,,,,,134.5,11.25,62.3475,21.0,0.8475964016305112,1.0287501503668952,1.8666666666666667
2023,89,Charleston-Huntington,7652578,122872,62.28,-0.03,59,70,129704.71186440678,2082.576271186441,,,,1892492.0,29505.0,64.14,11.0,3.0436514394776832,3.164446703948484,134.5,11.25,62.3475,21.0,0.8475964016305112,0.9989173583543848,1.8666666666666667
2024,98,Charleston-Huntington,6809841,96220,70.77,0.14,42,79,162139.07142857142,2290.9523809523807,,,,7652578.0,122872.0,62.28,59.0,-0.1101245880799908,-0.2169086529070902,134.5,11.25,62.3475,21.0,0.8475964016305112,1.1350896186695536,1.8666666666666667
2025,80,Charleston-Huntington,11388299,218177,52.2,-0.262,71,82,160398.57746478874,3072.9154929577467,,,,6809841.0,96220.0,70.77,42.0,0.6723296476378817,1.267480773228019,134.5,11.25,62.3475,21.0,0.8475964016305112,0.8372428726091664,1.8666666666666667
2022,20,Charlotte,33760402,412841,81.78,0.0,129,22,261708.5426356589,3200.3178294573645,,,,,,,,,,189.5,80.25,87.0725,78.0,1.1941971606615753,0.9392173189009159,0.9719626168224299
2023,21,Charlotte,92862231,1041088,89.2,0.09,423,22,219532.4609929078,2461.2009456264777,,,,33760402.0,412841.0,81.78,129.0,1.7506257478806089,1.521765037871723,189.5,80.25,87.0725,78.0,1.1941971606615753,1.0244336616038359,0.9719626168224299
2024,19,Charlotte,140593778,1665715,84.4,-0.05,628,21,223875.44267515923,2652.4124203821657,,,,92862231.0,1041088.0,89.2,423.0,0.5140038795751094,0.599975218233233,189.5,80.25,87.0725,78.0,1.1941971606615753,0.9693071865399523,0.9719626168224299
2025,23,Charlotte,112986221,1216064,92.91,0.101,589,21,191827.20033955856,2064.6247877758915,,,,140593778.0,1665715.0,84.4,628.0,-0.1963640026801185,-0.2699447384456525,189.5,80.25,87.0725,78.0,1.1941971606615753,1.0670418329552958,0.9719626168224299
2024,94,Charlottesville,8681892,99618,87.15,0.67,12,177,723491.0,8301.5,,,,,,,,,,,,,,,,
2023,98,Chattanooga,6607820,102561,64.43,0.44,83,89,79612.2891566265,1235.6746987951808,,,,,,,,,,123.5,2.0,61.845,1.0,0.7782762498242984,1.0417980434958365,0.5
2025,100,Chattanooga,6010590,101433,59.26,-0.19,92,86,65332.5,1102.5326086956522,,,,6607820.0,102561.0,64.43,83.0,-0.0903823046027283,-0.0109983326995641,123.5,2.0,61.845,1.0,0.7782762498242984,0.9582019565041636,0.5
2022,5,Chicago,86042731,1068037,80.56,0.0,458,3,187866.2248908297,2331.958515283842,,,,,,,,,,208.0,96.5,89.16,96.0,1.3107810523356604,0.9035441902198296,0.9948186528497409
2023,4,Chicago,295681068,3291100,89.84,0.12,1207,3,244971.8873239437,2726.677713338857,,,,86042731.0,1068037.0,80.56,458.0,2.436444480126973,2.081447552846952,208.0,96.5,89.16,96.0,1.3107810523356604,1.0076267384477344,0.9948186528497409
2024,4,Chicago,367388152,4010328,91.61,0.02,1383,3,265645.80766449746,2899.7310195227765,,,,295681068.0,3291100.0,89.84,1207.0,0.2425149654830116,0.2185372671751086,208.0,96.5,89.16,96.0,1.3107810523356604,1.0274786899955137,0.9948186528497409
2025,5,Chicago,399947094,4226636,94.63,0.033,1620,3,246880.92222222223,2609.0345679012344,207.0,30.459756097560977,84.0,367388152.0,4010328.0,91.61,1383.0,0.0886227327222026,0.0539377327739776,208.0,96.5,89.16,96.0,1.3107810523356604,1.0613503813369223,0.9948186528497409
2022,38,Cincinnati,11488279,206293,55.69,0.0,87,36,132049.183908046,2371.183908045977,,,,,,,,,,174.75,59.75,65.965,61.0,1.1012451389214262,0.8442355794739634,1.0209205020920502
2023,47,Cincinnati,24865505,410073,60.64,0.09,183,36,135877.07650273223,2240.8360655737706,,,,11488279.0,206293.0,55.69,87.0,1.1644238445114363,0.9878182972762042,174.75,59.75,65.965,61.0,1.1012451389214262,0.9192753733040249,1.0209205020920502
2024,40,Cincinnati,42953265,624229,68.81,0.13,325,36,132163.8923076923,1920.7046153846156,,,,24865505.0,410073.0,60.64,183.0,0.7274237945298114,0.5222387233492574,174.75,59.75,65.965,61.0,1.1012451389214262,1.0431289320093988,1.0209205020920502
2025,40,Cincinnati,55648300,706877,78.72,0.144,278,37,200173.74100719424,2542.723021582734,,,,42953265.0,624229.0,68.81,325.0,0.2955545987016355,0.1324001287988863,174.75,59.75,65.965,61.0,1.1012451389214262,1.1933601152126128,1.0209205020920502
2022,31,Cleveland,17787957,253260,70.24,0.0,46,19,386694.7173913043,5505.652173913043,,,,,,,,,,,,,,,,
2023,32,Cleveland,45330757,676542,67.0,-0.05,193,19,234874.38860103628,3505.39896373057,,,,17787957.0,253260.0,70.24,46.0,1.548395917530046,1.6713338071547028,,,,,,,
2024,35,Cleveland,53784176,816970,65.83,-0.02,226,19,237983.0796460177,3614.9115044247783,,,,45330757.0,676542.0,67.0,193.0,0.186483075938926,0.2075673055035756,,,,,,,
2025,31,Cleveland-Akron (Canton),83551320,856169,97.59,0.482,196,19,426282.2448979592,4368.209183673469,,,,,,,,,,192.0,70.0,97.59,70.0,1.2099517406175326,1.0,1.0
2022,79,Columbia,2869085,52143,55.02,0.0,17,76,168769.70588235295,3067.235294117647,,,,,,,,,,,,,,,,
2023,69,Columbia,14758107,186859,78.98,0.44,47,77,314002.27659574465,3975.723404255319,,,,2869085.0,52143.0,55.02,17.0,4.143837495229315,2.583587442226185,,,,,,,
2024,90,Columbia,9998824,115380,86.66,0.1,37,76,270238.4864864865,3118.3783783783783,,,,14758107.0,186859.0,78.98,47.0,-0.3224860071823574,-0.3825290727232833,,,,,,,
2025,96,"Columbia, SC",7597706,131695,57.69,-0.334,44,76,172675.13636363635,2993.068181818182,,,,,,,,,,135.0,5.0,57.69,5.0,0.8507473176217026,1.0,1.0
2022,40,Columbus,9263107,131454,70.47,0.0,84,33,110275.08333333331,1564.928571428571,,,,,,,,,,,,,,,,
2023,44,Columbus,27644508,371655,74.38,0.06,252,32,109700.42857142857,1474.821428571429,,,,9263107.0,131454.0,70.47,84.0,1.9843666925147248,1.8272627687251812,,,,,,,
2024,27,"Columbus, OH",86664972,855423,101.31,0.36,379,32,228667.4722955145,2257.052770448549,,,,,,,,,,177.5,66.0,86.5,58.0,1.1185751768729795,1.17121387283237,0.8787878787878788
2025,43,"Columbus, OH",47738285,665917,71.69,-0.292,467,35,102223.30835117774,1425.9464668094215,,,,86664972.0,855423.0,101.31,379.0,-0.4491628636307642,-0.2215348429958044,177.5,66.0,86.5,58.0,1.1185751768729795,0.82878612716763,0.8787878787878788
2023,87,Columbus-Tupelo,7843650,191852,40.88,-0.09,93,133,84340.32258064517,2062.924731182796,,,,,,,,,,,,,,,,
2022,98,Corpus Christi,1541542,40343,38.21,0.0,17,130,90678.9411764706,2373.1176470588234,,,,,,,,,,,,,,,,
2022,7,Dallas-Ft. Worth,60905142,683363,89.13,0.0,134,5,454515.98507462686,5099.723880597015,,,,,,,,,,206.25,92.25,92.705,91.0,1.2997528463664902,0.9614368157057332,0.986449864498645
2023,8,Dallas-Ft. Worth,206799956,2252572,91.81,0.03,394,5,524872.9847715736,5717.187817258883,,,,60905142.0,683363.0,89.13,134.0,2.395443294426602,2.296303721448191,206.25,92.25,92.705,91.0,1.2997528463664902,0.9903457202955612,0.986449864498645
2024,10,Dallas-Ft. Worth,259607807,2755018,94.23,0.03,468,5,554717.5363247864,5886.790598290599,,,,206799956.0,2252572.0,91.81,394.0,0.2553571674841168,0.223054357418986,206.25,92.25,92.705,91.0,1.2997528463664902,1.016450029663988,0.986449864498645
2025,10,Dallas-Ft. Worth,242219020,2532466,95.65,0.015,461,4,525420.8676789588,5493.418655097614,,,,259607807.0,2755018.0,94.23,468.0,-0.0669809864385164,-0.0807805974407426,206.25,92.25,92.705,91.0,1.2997528463664902,1.0317674343347176,0.986449864498645
2022,88,Davenport-Rock Island,2175938,36059,60.34,0.0,10,103,217593.8,3605.9,,,,,,,,,,,,,,,,
2023,99,Davenport-Rock Island,6377075,124490,51.23,-0.15,37,101,172353.37837837837,3364.5945945945946,,,,2175938.0,36059.0,60.34,10.0,1.930724588660155,2.452397459718794,,,,,,,
2022,84,Dayton,2466633,35854,68.8,0.0,9,65,274070.3333333333,3983.777777777778,,,,,,,,,,,,,,,,
