model,rmse,mae,r2
CatBoost,13.186008167359166,10.920826991252326,0.42198976048797443
KNN (Baseline),14.802550928809532,11.87605882352941,0.27157980275307714
Random Forest,18.984854405065793,13.968093939946334,-0.1981836608898273
Decision Tree,20.555676401740794,14.346039092550892,-0.40466381733224677
XGBoost,22.71868162451731,15.824796546487251,-0.7158333396558441
