city,state_code,tm_events_2025,tm_avg_price_2025,tm_artists_2025,tm_venues_2025,year
Irving,TX,4,44.822500000000005,4,1,2025
Island Lake,IL,6,111.10416666666667,1,1,2025
Jackson,MS,4,31.068749999999998,4,2,2025
Jacksonville,FL,17,35.88859375,11,11,2025
Jersey City,NJ,2,20.020000000000003,2,1,2025
Jim Thorpe,PA,5,29.305,5,1,2025
Joliet,IL,15,38.330000000000005,10,2,2025
Kansas City,MO,22,28.112000000000002,14,10,2025
Kansas City ,MO,1,65.885,1,1,2025
Kingston,NY,2,28.9,2,1,2025
Lafayette,LA,2,109.27250000000001,1,2,2025
Lake Tahoe,NV,4,29.305,2,1,2025
Lakewood,OH,27,15.667222222222222,1,2,2025
Lancaster,CA,3,95.235,2,1,2025
Las Vegas,NV,226,28.405273224043714,49,23,2025
Lawrence,KS,1,,1,1,2025
Lawrenceburg,IN,1,17.19,1,1,2025
Leesburg,VA,11,37.3965,4,2,2025
Lemont,IL,4,43.34,0,1,2025
Lexington,KY,7,52.91571428571428,7,3,2025
Libertyville ,IL,6,34.3225,1,1,2025
Lincoln,CA,7,31.767142857142858,7,1,2025
Lincoln,NE,11,36.46090909090909,6,3,2025
Little Rock,AR,2,102.27,2,2,2025
Los Angeles,CA,183,34.53449438202247,118,27,2025
Louisville,KY,15,26.278000000000002,14,6,2025
Madison,WI,26,27.067934782608695,25,5,2025
Malibu,CA,1,0.0,1,1,2025
Manchester,NH,2,29.305,2,1,2025
Maspeth,NY,6,19.545,2,1,2025
McDonough,GA,1,92.64,1,1,2025
Memphis,TN,3,29.485,3,1,2025
Menlo Park,CA,3,34.17166666666667,3,1,2025
Middletown,NY,2,34.45875,2,1,2025
Milford,PA,4,,0,1,2025
Milwaukee,WI,23,25.359347826086957,11,7,2025
Mobile,AL,12,27.41875,6,4,2025
Montclair,NJ,6,26.607999999999997,4,2,2025
Monterey,CA,3,23.576666666666668,3,1,2025
Montgomery,AL,3,26.823333333333334,2,3,2025
Mount Clemens,MI,1,32.69,0,1,2025
Mount Pleasant,MI,1,17.19,1,1,2025
Mulvane,KS,1,17.19,1,1,2025
Myrtle Beach,SC,1,42.335,1,1,2025
Napa,CA,32,49.00625,11,2,2025
Nashville,IN,6,29.326666666666668,6,1,2025
National Harbor,MD,8,37.14625,2,1,2025
New Bern,NC,2,48.9575,1,2,2025
New Brunswick,NJ,2,31.64,2,1,2025
New Haven,CT,6,27.285833333333333,3,2,2025
New Kent,VA,2,19.545,1,1,2025
New Orleans,LA,125,37.219334677419354,52,15,2025
New Philadelphia,OH,2,0.0,1,1,2025
New York,NY,406,49.04233250620348,108,33,2025
Newport,KY,24,20.547083333333333,8,4,2025
Newport News,VA,1,40.61,1,1,2025
Niagara Falls,NY,3,53.665,1,2,2025
Norfolk,VA,5,32.3275,5,2,2025
Norman,OK,1,31.64,1,1,2025
North Little Rock,AR,1,31.64,1,1,2025
