event_id,event_date,artist_name,venue_name,city,state_code,price_min,price_max,price_avg,total_tickets,sold_out,year,month,dayofweek,data_source
9537514,2016-07-30 00:00:00,311,The Tabernacle Atlanta,Atlanta,GA,111.05,249.0,180.025,68,0,2016,7,5,GitHub
9537515,2016-07-31 00:00:00,311,The Tabernacle Atlanta,Atlanta,GA,96.89,299.0,197.945,109,0,2016,7,6,GitHub
9538723,2016-08-05 23:30:00,311,Austin360 Amphitheater,Austin,TX,95.71,449.0,272.355,42,0,2016,8,4,GitHub
9538679,2016-03-20 23:30:00,311,Blue Hills Bank Pavilion,Boston,MA,107.52,234.0,170.76,20,0,2016,3,6,GitHub
9538635,2016-07-09 00:30:00,311,FirstMerit Bank Pavilion at Northerly Island,Chicago,IL,65.43,140.0,102.715,130,0,2016,7,5,GitHub
9538725,2016-08-06 23:30:00,311,Gexa Energy Pavilion,Dallas,TX,94.5,556.0,325.25,64,0,2016,8,5,GitHub
9537516,2016-08-01 01:00:00,311,Marathon Music Works,Nashville,TN,85.08,126.0,105.53999999999999,52,0,2016,8,0,GitHub
9538643,2016-07-17 22:00:00,311,Maine State Pier,Portland,ME,79.2,139.0,109.1,66,0,2016,7,6,GitHub
9538728,2016-08-15 01:30:00,311,Nob Hill Masonic Auditorium,San Francisco,CA,95.72,225.0,160.36,23,0,2016,8,0,GitHub
9529143,2016-03-18 16:00:00,10 Years of Juicy Beach with Robbie Rivera,Epic Hotel Miami,Miami,FL,72.65,59.95,66.30000000000001,4,0,2016,3,4,GitHub
9540796,2016-04-15 01:00:00,"103.5 Kiss FM Spring show with Alessia Cara, Mike Posner and Daya",Vic Theatre,Chicago,IL,85.1,74.95,80.025,10,0,2016,4,4,GitHub
9534146,2016-06-09 14:29:00,2016 CMA Fan Fair X 4 Day Pass,Music City Center Nashville,Nashville,TN,87.79,330.0,208.895,44,0,2016,6,3,GitHub
9534143,2016-06-10 14:30:00,2016 CMA Fan Fair X Friday Only,Music City Center Nashville,Nashville,TN,64.25,65.95,65.1,91,0,2016,6,4,GitHub
9534144,2016-06-11 14:30:00,2016 CMA Fan Fair X Saturday Only,Music City Center Nashville,Nashville,TN,64.25,65.95,65.1,91,0,2016,6,5,GitHub
9534145,2016-06-12 14:30:00,2016 CMA Fan Fair X Sunday Only,Music City Center Nashville,Nashville,TN,64.25,65.95,65.1,91,0,2016,6,6,GitHub
9534142,2016-06-09 14:30:00,2016 CMA Fan Fair X Thursday Only,Music City Center Nashville,Nashville,TN,64.25,65.95,65.1,38,0,2016,6,3,GitHub
9296869,2016-06-09 18:00:00,2016 CMA Music Festival 4 Day Pass,Nissan Stadium Nashville,Nashville,TN,365.15,6449.99,3407.5699999999997,1354,0,2016,6,3,GitHub
9508366,2016-05-21 23:55:00,2016 Country Megaticket Gexa Energy Pavilion,Gexa Energy Pavilion,Dallas,TX,335.63,1249.0,792.315,58,0,2016,5,5,GitHub
9537897,2016-03-19 03:00:00,2016 John in the Morning at Night with the Dandy Warhols and more,Neumos,Seattle,WA,120.49,150.0,135.245,4,0,2016,3,5,GitHub
9394142,2016-04-03 01:00:00,2Cellos,Chicago Theatre,Chicago,IL,73.3,251.0,162.15,400,0,2016,4,6,GitHub
9485387,2016-04-04 00:30:00,2Cellos,Chicago Theatre,Chicago,IL,84.9,241.58,163.24,259,0,2016,4,0,GitHub
9397983,2016-04-24 02:00:00,2Cellos,Buell Theatre,Denver,CO,209.0,349.0,279.0,17,0,2016,4,6,GitHub
9395359,2016-04-17 03:00:00,2Cellos,Keller Auditorium,Portland,OR,108.7,9999.0,5053.85,46,0,2016,4,6,GitHub
9394145,2016-04-18 02:00:00,2Cellos,McCaw Hall,Seattle,WA,94.54,500.0,297.27,190,0,2016,4,0,GitHub
9540533,2016-07-20 23:30:00,311 with Matisyahu,Blue Hills Bank Pavilion,Boston,MA,83.92,9000.0,4541.96,183,0,2016,7,2,GitHub
9537511,2016-07-22 22:30:00,311 with Matisyahu,Festival Pier at Penns Landing,Philadelphia,PA,55.46,126.0,90.73,76,0,2016,7,4,GitHub
9420620,2016-07-24 23:30:00,5 Seconds of Summer,Lakewood Amphitheatre,Atlanta,GA,34.36,850.0,442.18,914,0,2016,7,6,GitHub
