city,secondary_events_count,avg_secondary_price_market,avg_volatility_market,avg_listings_market,high_demand_rate_market,unique_artists_secondary
Sydney,7,117.52071428571428,0.21425111617107065,34.0,0.0,5
São Paulo,1,25.32,0.1768059073202282,153.0,0.0,1
Tallahassee,1,95.135,0.171012722244158,33.0,0.0,1
Tampa,5,90.377,0.14451723385517767,699.0,0.4,5
Tempe,1,48.52,0.0945164029804168,87.0,0.0,1
The Woodlands,1,63.16,0.2096209850149626,,0.0,1
Thunder Bay,1,80.1,0.0725713907718212,25.0,0.0,1
Tinley Park,2,57.56,0.2424420244240195,,0.0,2
Toronto,17,94.0634375,0.2997345785634736,446.75,0.4117647058823529,15
Tucson,2,59.735,0.2735036031555565,469.0,0.5,2
Tulsa,6,89.03500000000001,0.2228254128474233,233.0,0.5,5
Tysons,1,143.285,0.2201044242986233,239.0,1.0,1
Utica,1,18.14,0.1404616245336063,52.0,0.0,1
Vancouver,3,34.285,0.14614529875641963,41.0,0.0,3
Villanova,1,,,92.0,0.0,1
Wallingford,4,62.47375,0.21087999182712053,524.3333333333334,0.75,4
Wantagh,3,70.925,0.23477654878147355,24.0,0.0,3
Washington,13,63.054545454545455,0.21079587541598732,351.6363636363636,0.46153846153846156,13
Washington DC,2,82.2675,0.42317128270683413,11.0,0.0,2
West Hollywood,1,134.1,0.0,11.0,0.0,1
West Palm Beach,2,52.6225,0.22787330400949604,96.0,0.0,2
West Valley City,3,89.64166666666667,0.12055403290410627,203.0,0.3333333333333333,3
Wichita,1,61.555,0.2512306566669429,215.0,1.0,1
Wilkes Barre,1,94.585,0.2196115056563143,,0.0,1
Winnipeg,5,49.752,0.24207390516602706,479.5,0.2,5
Worcester,1,251.16,0.0,60.0,0.0,1
Yokohama,1,135.82,0.0930707769991081,58.0,0.0,1
