city,phq_events,phq_total_attendance,phq_avg_rank
[-101.87138,1,341.0,41.0
[-101.8723047,1,163.0,34.0
[-101.87288239999998,3,180687.0,86.0
[-101.87468,1,311.0,40.0
[-101.87519,1,194.0,36.0
[-101.8767901,5,15589.0,60.0
[-101.8771295,1,169.0,35.0
[-101.87893,1,391.0,42.0
[-101.87923,1,919.0,49.0
[-101.87973,1,100.0,30.0
[-101.87977,1,479.0,44.0
[-101.8803988,1,215.0,37.0
[-101.88238,1,614.0,46.0
[-101.8825669,1,954.0,50.0
[-101.88438,1,207.0,36.0
[-101.8864988,18,134613.0,67.22222222222223
[-101.88652,1,100.0,30.0
[-101.891,1,103.0,0.0
[-101.8915988,1,954.0,50.0
[-101.89578,1,100.0,30.0
[-101.915258,1,835.0,48.0
[-101.9174,1,201.0,36.0
[-101.9188024,1,124.0,32.0
[-101.91892,1,255.0,38.0
[-101.92118,2,200.0,30.0
[-101.922,1,746.0,47.0
[-101.92357,2,548.0,39.0
[-101.92357   33.54535],1,274.0,39.0
[-101.9281655,1,332.0,40.0
[-101.92898,1,100.0,30.0
[-101.93332,1,205.0,36.0
[-101.94085,1,100.0,30.0
[-101.9473438,1,292.0,39.0
[-101.95219,1,100.0,30.0
[-101.9563343,1,329.0,40.0
[-101.96759,1,501.0,44.0
[-101.9732236,1,73.0,27.0
[-101.97375,1,347.0,41.0
[-101.9893263,2,1890.0,48.5
[-101.9907,1,100.0,30.0
[-102.00215,1,553.0,45.0
[-102.0085702,1,679.0,47.0
[-102.00906,1,334.0,40.0
[-102.0159098,1,312.0,40.0
[-102.02439,1,100.0,30.0
[-102.0564672,1,1341.0,53.0
[-102.05811   31.97805],1,650.0,46.0
[-102.06391   35.19053],1,700.0,47.0
[-102.07099,1,100.0,30.0
[-102.074739,2,332.0,33.5
[-102.07474,1,465.0,43.0
[-102.074791,1,6000.0,66.0
[-102.07791,1,298.0,39.0
[-102.08325,1,832.0,48.0
[-102.088196,1,1618.0,54.0
[-102.0894239,1,136.0,33.0
[-102.09038,1,995.0,50.0
[-102.092358,1,2500.0,58.0
[-102.0932,1,377.0,42.0
[-102.0946818,1,954.0,50.0
[-102.0965267,1,954.0,50.0
[-102.09795,1,978.0,50.0
[-102.11091,1,100.0,30.0
[-102.11322,1,100.0,30.0
[-102.1264337,1,96.0,30.0
[-102.13059,1,260.0,38.0
[-102.15272,1,100.0,30.0
[-102.1722,1,645.0,46.0
[-102.202166,1,1500.0,54.0
[-102.20236573333334,1,20000.0,76.0
[-102.21956,1,643.0,46.0
[-102.22531,1,267.0,39.0
[-102.22672,1,443.0,43.0
[-102.2319,1,212.0,37.0
[-102.2467947,6,9797.0,51.5
[-102.2467947   31.9701304],1,1832.0,55.0
[-102.2468,1,1827.0,55.0
[-102.2688478,1,464.0,43.0
[-102.2828481,1,100.0,30.0
[-102.3229,1,422.0,43.0
[-102.32967,1,171.0,35.0
[-102.36469,1,100.0,30.0
[-102.3679,1,100.0,30.0
[-102.37768,1,466.0,43.0
[-102.38351,1,100.0,30.0
[-102.38590927450863,1,562.0,45.0
[-102.387039,1,7000.0,67.0
[-102.387558,17,72750.0,62.64705882352941
[-102.387558    31.8838891],2,9449.0,63.5
[-102.44633,1,100.0,30.0
[-102.4901804,1,80.0,28.0
[-102.5457155,1,81.0,28.0
[-102.549425,1,2000.0,56.0
[-102.63738,1,150.0,34.0
[-102.64491   46.00157],1,272.0,39.0
[-102.6976,1,371.0,41.0
[-102.71332,1,316.0,40.0
[-102.72383   34.22647],1,250.0,38.0
[-102.73126617490985,1,6000.0,66.0
[-102.75993,2,370.0,35.0
[-102.788556,1,2000.0,56.0
[-102.81271,1,389.0,42.0
[-102.81363,1,326.0,40.0
[-102.85476,1,100.0,30.0
[-102.85868,1,434.0,43.0
[-102.8669044,1,288.0,39.0
[-102.87806,1,193.0,36.0
[-102.88075,1,100.0,30.0
[-103.01404   42.82184],1,168.0,35.0
[-103.11153   32.6821 ],1,1201.0,52.0
[-103.12633,1,100.0,30.0
[-103.1460223,1,228.0,37.0
[-103.14777,1,100.0,30.0
[-103.15093,1,496.0,44.0
[-103.16724,1,312.0,40.0
[-103.17294,1,2500.0,58.0
[-103.17628,1,295.0,39.0
[-103.17714   44.06655],1,177.0,35.0
[-103.18098,1,100.0,30.0
[-103.181151,1,1060.0,51.0
[-103.19254,1,100.0,30.0
[-103.19416,1,100.0,30.0
[-103.19464,1,412.0,42.0
[-103.19584,1,100.0,30.0
[-103.2001193,1,331000.0,100.0
[-103.20285,1,182.0,35.0
[-103.20317,1,100.0,30.0
[-103.20459,1,100.0,30.0
[-103.20556,1,241.0,38.0
[-103.20692,1,100.0,30.0
[-103.20699,1,100.0,30.0
[-103.20707,5,500.0,30.0
[-103.21402,1,100.0,30.0
[-103.22088,1,158.0,34.0
[-103.22436,3,323.0,30.666666666666668
[-103.22449,1,123.0,32.0
[-103.22457,2,600.0,38.5
[-103.22485,1,440.0,43.0
[-103.22591,1,583.0,45.0
[-103.2260602,1,1185.0,51.0
[-103.2263611,15,8430.0,45.0
[-103.22755,2,200.0,30.0
[-103.22843,1,325.0,40.0
[-103.2288,1,876.0,49.0
[-103.22915,1,100.0,30.0
[-103.23,2,10817.0,64.5
[-103.230023,1,278.0,39.0
[-103.2312,1,297.0,39.0
[-103.23242   44.08156],1,197.0,36.0
[-103.24471,1,301.0,40.0
[-103.24471   47.79886],1,100.0,30.0
[-103.24884,1,208.0,36.0
[-103.2832467,1,88.0,29.0
[-103.31495,1,349.0,41.0
[-103.322311,1,1112.0,51.0
[-103.33628,3,555.0,35.0
[-103.34704,3,1379.0,42.666666666666664
[-103.43465,1,658.0,46.0
[-103.4398,1,199.0,36.0
[-103.4590667,1,117.0,31.0
[-103.48957,1,153.0,34.0
[-103.5146659,1,831.0,48.0
[-103.54157   37.97073],1,291.0,39.0
[-103.55663,1,685.0,47.0
[-103.5784012,1,140.0,33.0
[-103.5864491,1,100.0,30.0
[-103.60191,1,357.0,41.0
[-103.61194,1,100.0,30.0
[-103.61344,2,200.0,30.0
[-103.63005,1,644.0,46.0
[-103.63198   44.45954],1,384.0,42.0
[-103.63711,2,200.0,30.0
[-103.65158,1,633.0,46.0
[-103.66072,1,234.0,37.0
[-103.6610925,1,242.0,38.0
[-103.66152,1,252.0,38.0
[-103.71755,1,958.0,50.0
[-103.72011,1,572.0,45.0
[-103.72202,1,705.0,47.0
[-103.72497,1,180.0,35.0
[-103.72617,1,229.0,37.0
[-103.7286629,1,754.0,48.0
[-103.730736,2,5000.0,58.0
[-103.73136,1,245.0,38.0
[-103.743604,1,2161.0,57.0
[-103.76387929999999,1,129.0,32.0
[-103.76675,2,1101.0,44.0
[-103.76858,1,316.0,40.0
[-103.78144,1,1318.0,52.0
[-103.78736,1,100.0,30.0
[-103.792285,1,500.0,44.0
[-103.80752   40.25042],1,312.0,40.0
[-103.82892,1,219.0,37.0
[-103.8465805,1,350.0,41.0
[-103.8579868,1,331.0,40.0
[-103.858,1,295.0,39.0
[-103.85816,1,797.0,48.0
[-103.8583,1,636.0,46.0
[-103.8584365,1,331.0,40.0
[-103.85877,2,1204.0,44.5
[-103.86402,1,493.0,44.0
[-103.9608091,1,104.0,30.0
[-104.0177326,1,264.0,38.0
[-104.04904,1,100.0,30.0
[-104.1678324,1,89.0,29.0
[-104.18998,1,107.0,31.0
[-104.20808,3,300.0,30.0
[-104.22237,1,100.0,30.0
[-104.2289925,1,96.0,30.0
[-104.2491965,2,200.0,30.0
[-104.29232,1,831.0,48.0
[-104.34369,1,223.0,37.0
[-104.3757816,1,73.0,27.0
[-104.3795,1,100.0,30.0
[-104.38812,2,219.0,31.0
[-104.3953879,1,1084.0,51.0
[-104.39915,1,100.0,30.0
[-104.40297,1,259.0,38.0
[-104.4032962,1,84.0,28.0
[-104.4033,2,711.0,40.5
[-104.40331,1,255.0,38.0
[-104.40847,1,724.0,47.0
[-104.41222,1,742.0,47.0
[-104.46652,1,427.0,43.0
[-104.46808,1,579.0,45.0
[-104.49983,1,100.0,30.0
[-104.50276,1,370.0,41.0
[-104.50406,1,911.0,49.0
[-104.50455,1,334.0,40.0
[-104.50515,1,557.0,45.0
[-104.50518,1,273.0,39.0
[-104.5064,1,100.0,30.0
[-104.50643,1,740.0,47.0
[-104.50709,1,557.0,45.0
[-104.5072402,1,209.0,36.0
[-104.51021,1,100.0,30.0
[-104.5114   37.1738],1,193.0,36.0
[-104.51554   37.16776],1,100.0,30.0
[-104.51653,1,143.0,33.0
[-104.521369,6,1633.0,38.666666666666664
[-104.5214,1,329.0,40.0
[-104.52157,1,100.0,30.0
[-104.52216,1,943.0,49.0
[-104.52302,1,916.0,49.0
[-104.52307,2,200.0,30.0
[-104.5234,1,100.0,30.0
[-104.52571,1,2373.0,58.0
[-104.52797,1,284.0,39.0
[-104.53535,1,100.0,30.0
[-104.5447998,1,288.0,39.0
[-104.5578,1,100.0,30.0
[-104.57787,1,481.0,44.0
[-104.579911,1,74.0,27.0
[-104.5851395,1,776.0,48.0
[-104.59662,1,223.0,37.0
[-104.596915,1,81.0,28.0
[-104.60794,2,837.0,41.5
[-104.6101033,1,71.0,27.0
[-104.61033,1,252.0,38.0
[-104.6111555,2,1385.0,47.0
[-104.61117,1,248.0,38.0
[-104.61263,1,214.0,37.0
[-104.61724,1,338.0,41.0
[-104.62106,1,100.0,30.0
[-104.62113,1,157.0,34.0
[-104.62191,1,100.0,30.0
[-104.6355229,1,103.0,0.0
[-104.63635,1,100.0,30.0
[-104.6388,1,647.0,46.0
[-104.64024,1,313.0,40.0
[-104.6429,1,100.0,30.0
[-104.65529,1,351.0,41.0
[-104.65547,1,100.0,30.0
[-104.66307,1,100.0,30.0
[-104.6636,1,100.0,30.0
[-104.68172626   38.26735388],1,178.0,35.0
[-104.68316,1,439.0,43.0
[-104.684,1,195.0,36.0
[-104.6853928,1,175.0,35.0
[-104.685396,1,3500.0,61.0
[-104.6862,1,471.0,43.0
[-104.6862    40.39681],1,420.0,42.0
[-104.68638,1,427.0,43.0
[-104.68657,1,1758.0,55.0
[-104.6895027,2,11090.0,60.5
[-104.68965795890007,1,3500.0,61.0
[-104.68967,1,1227.0,52.0
[-104.69001,1,272.0,39.0
[-104.69003,1,272.0,39.0
[-104.6911731,4,651.0,34.0
[-104.69212,1,303.0,40.0
[-104.69218,1,177.0,35.0
[-104.6948    40.42587],1,411.0,42.0
[-104.694841,1,1025.0,50.0
[-104.69516,2,200.0,30.0
[-104.7008056,1,91.0,29.0
[-104.70113868073138,1,5000.0,64.0
[-104.7016602,1,234.0,37.0
[-104.7030436,21,49483.0,56.523809523809526
[-104.7030436   40.4022171],1,2734.0,59.0
[-104.70594,1,1299.0,52.0
[-104.70633,1,629.0,46.0
[-104.7090167,1,337.0,41.0
[-104.70913,4,520.0,31.75
[-104.71041,1,100.0,30.0
[-104.7107931,1,117.0,31.0
[-104.7123642   40.525795 ],1,241.0,38.0
[-104.715627,1,2500.0,58.0
[-104.7163192,1,161.0,34.0
[-104.71791,1,100.0,30.0
[-104.71804,1,172.0,35.0
[-104.7207407,1,161.0,34.0
[-104.72428,4,400.0,30.0
[-104.730829,1,2000.0,56.0
[-104.7321432,1,100.0,30.0
[-104.73262,1,294.0,39.0
[-104.7350605,1,805.0,48.0
[-104.73572   38.89126],1,344.0,41.0
[-104.736409,1,4500.0,63.0
[-104.73749675587207,1,15000.0,74.0
[-104.73778,1,273.0,39.0
[-104.7386755,1,312.0,40.0
[-104.7396066,4,1451.0,40.5
[-104.7397,1,473.0,43.0
[-104.7399516,4,1012.0,37.0
[-104.74692,1,328.0,40.0
[-104.74833,1,981.0,50.0
[-104.75004,1,372.0,41.0
[-104.75115,1,1138.0,51.0
[-104.75137,1,846.0,49.0
[-104.75387155980788,1,4000.0,62.0
[-104.75441081097725,1,8000.0,68.0
[-104.7556262,1,729.0,47.0
[-104.75588,1,100.0,30.0
[-104.75614,1,100.0,30.0
[-104.757153,3,645.0,36.666666666666664
[-104.7572564,1,465.0,43.0
[-104.75776,1,791.0,48.0
[-104.75792,1,100.0,30.0
[-104.7593565,1,590.0,45.0
[-104.76078,1,627.0,46.0
[-104.76136,2,724.0,41.0
[-104.7613633,1,102.0,30.0
[-104.76155,1,100.0,30.0
[-104.7626,1,171.0,35.0
[-104.76304,1,1159.0,51.0
[-104.76376,2,1408.0,47.0
[-104.76704,1,100.0,30.0
[-104.7688    39.96478],1,271.0,39.0
[-104.77014,1,2574.0,58.0
[-104.773516,1,2500.0,58.0
[-104.77386,1,100.0,30.0
[-104.77398,1,247.0,38.0
[-104.7751161   39.5224241],1,260.0,38.0
[-104.7762552,1,327.0,40.0
[-104.77802,3,536.0,33.666666666666664
[-104.778236,2,450.0,37.0
[-104.77953,1,235.0,37.0
[-104.77996,1,186.0,35.0
[-104.78007,1,374.0,41.0
[-104.78412,1,241.0,38.0
[-104.78513705120295,1,25000.0,78.0
[-104.7853375,2,200.0,30.0
[-104.7859395,1,121.0,32.0
[-104.7865615,1,567.0,45.0
[-104.7867483,1,594.0,45.0
[-104.788182,2,200.0,30.0
[-104.78923,1,100.0,30.0
[-104.7893334,7,1916.0,37.857142857142854
[-104.7893334   38.8373398],1,168.0,35.0
[-104.79,6,3409.0,42.333333333333336
[-104.79        38.8372928],1,303.0,40.0
[-104.7933936,1,235.0,37.0
[-104.79349,1,321.0,40.0
[-104.7942332,3,23912.0,67.33333333333333
[-104.79521,1,100.0,30.0
[-104.79525247631432,1,3000.0,60.0
[-104.7953,1,535.0,45.0
[-104.7974,1,388.0,42.0
[-104.79762,1,691.0,47.0
[-104.8,1,100.0,30.0
[-104.8026439,1,100.0,30.0
[-104.803718,1,500.0,44.0
[-104.803757,1,2295.0,57.0
[-104.80833,1,100.0,30.0
[-104.8087178,1,176.0,35.0
[-104.80883     38.8192043],1,1394.0,53.0
[-104.80908,1,284.0,39.0
[-104.8097,1,334.0,40.0
[-104.8104424,1,97.0,30.0
[-104.8105,1,100.0,30.0
[-104.8107,1,100.0,30.0
[-104.81118,1,100.0,30.0
[-104.8113393,1,151.0,34.0
[-104.81193,1,1003.0,50.0
[-104.8133,1,228.0,37.0
[-104.8140945,1,593.0,45.0
[-104.8141686,1,427.0,43.0
[-104.81441,1,235.0,37.0
[-104.81481,1,100.0,30.0
[-104.814907,1,1500.0,54.0
[-104.81649,1,100.0,30.0
[-104.81663,1,235.0,37.0
[-104.81722,2,200.0,30.0
[-104.81767,1,100.0,30.0
[-104.81791,1,100.0,30.0
[-104.81817,1,241.0,38.0
[-104.81874,1,447.0,43.0
[-104.8187805,1,592.0,45.0
[-104.8205283,1,100.0,30.0
[-104.8208313,1,210.0,36.0
[-104.82105,1,231.0,37.0
[-104.82125,2,348.0,35.0
[-104.8213104,1,297.0,39.0
[-104.82136,1,225.0,37.0
[-104.82137,6,2453.0,41.0
[-104.82138,1,100.0,30.0
[-104.82143,1,335.0,41.0
[-104.82153,1,463.0,43.0
[-104.8216009,3,418.0,32.666666666666664
[-104.82163,1,335.0,41.0
[-104.8216587,2,1580.0,46.0
[-104.8216587   41.1352586],1,1275.0,52.0
[-104.8219,1,100.0,30.0
[-104.82206,1,614.0,46.0
[-104.82225,1,225.0,37.0
[-104.82247,1,313.0,40.0
[-104.822528,1,130.0,32.0
[-104.82262,7,15481.0,56.57142857142857
[-104.822799,1,1500.0,54.0
[-104.82286,1,605.0,46.0
[-104.82289,1,150.0,34.0
[-104.823209,1,1176.0,51.0
[-104.82358,1,246.0,38.0
[-104.8236032,1,227.0,37.0
[-104.82364,1,143.0,33.0
[-104.8238702,1,241.0,38.0
[-104.82393,1,292.0,39.0
[-104.8240559,1,218.0,37.0
[-104.82407,1,324.0,40.0
[-104.8242382,2,1350.0,46.5
[-104.82432,1,183.0,35.0
[-104.8243555,1,195.0,36.0
[-104.8244338,1,385.0,42.0
[-104.82518,1,435.0,43.0
[-104.82572   38.83122],1,304.0,40.0
[-104.8259,1,100.0,30.0
[-104.8266823,7,9477.0,52.285714285714285
[-104.8266823   38.8308982],1,2047.0,56.0
[-104.82674830826514,1,184.0,35.0
[-104.82689,1,100.0,30.0
[-104.82692,1,100.0,30.0
[-104.8277443,1,100.0,30.0
[-104.828    38.8263],1,294.0,39.0
[-104.82821,1,258.0,38.0
[-104.82839,1,1326.0,52.0
[-104.8284145,6,25461.0,53.833333333333336
[-104.82858,1,421.0,42.0
[-104.82913,1,207.0,36.0
[-104.82919,2,200.0,30.0
[-104.8319195,1,121.0,32.0
[-104.83192,1,313.0,40.0
[-104.8328808,1,237.0,37.0
[-104.8354295,1,269.0,39.0
[-104.83611,1,100.0,30.0
[-104.83732,1,100.0,30.0
[-104.84,1,1289.0,52.0
[-104.84111,1,100.0,30.0
[-104.8435944,1,238.0,38.0
[-104.8442306   39.698071 ],1,263.0,38.0
[-104.844481,1,250.0,38.0
[-104.84664,1,100.0,30.0
[-104.8472371,1,490.0,44.0
[-104.8478546,1,257.0,38.0
[-104.8478961,1,571.0,45.0
[-104.84827   38.82314],1,1397.0,53.0
[-104.848937,1,8000.0,68.0
[-104.8499311   39.7385898],1,204.0,36.0
[-104.852029,1,65.0,26.0
[-104.8521019264,1,100.0,30.0
[-104.853671,1,6000.0,66.0
[-104.85369,2,200.0,30.0
[-104.85371,1,562.0,45.0
[-104.85431,1,237.0,37.0
[-104.855204,1,3000.0,60.0
[-104.8555832   39.7138939],2,638.0,40.0
[-104.8559771,1,320.0,40.0
[-104.85642,4,400.0,30.0
[-104.85696,1,264.0,38.0
[-104.8577424,1,100.0,30.0
[-104.8589697,1,395.0,42.0
[-104.85934253491766,1,14000.0,73.0
[-104.85937,1,328.0,40.0
[-104.85937   39.37097],1,1127.0,51.0
[-104.8653013,12,20393.0,52.916666666666664
[-104.86534,1,100.0,30.0
[-104.86602,1,120.0,32.0
[-104.86729,1,844.0,49.0
[-104.86751,1,100.0,30.0
[-104.86752,1,310.0,40.0
[-104.8675287,2,1048.0,44.0
[-104.8677044,1,100.0,30.0
[-104.86991,1,100.0,30.0
[-104.87022,2,393.0,35.5
[-104.87114,1,244.0,38.0
[-104.87142,1,1450.0,53.0
[-104.8715129,1,239.0,38.0
[-104.8721,1,246.0,38.0
[-104.8730971,1,279.0,39.0
[-104.87399,1,100.0,30.0
[-104.87447,1,225.0,37.0
[-104.8746394,2,601.0,39.5
[-104.87607,1,100.0,30.0
[-104.87623653703197,1,5000.0,64.0
[-104.8766    39.56264],1,2271.0,57.0
[-104.87692,1,100.0,30.0
[-104.877,1,151.0,34.0
[-104.8771726,4,495.0,32.0
[-104.87739,1,631.0,46.0
[-104.8775,2,200.0,30.0
[-104.8775    39.75303],1,100.0,30.0
[-104.8785735,4,2265.0,44.25
[-104.87975,1,386.0,42.0
[-104.88053,2,200.0,30.0
[-104.8811,1,100.0,30.0
[-104.8812222,1,229.0,37.0
[-104.8819296,3,540.0,35.0
[-104.88206,1,160.0,34.0
[-104.8829866,2,810.0,42.0
[-104.8830623,2,394.0,36.0
[-104.8835884,12,21345.0,54.5
[-104.884,16,57488.0,57.625
[-104.8855675,1,475.0,44.0
[-104.8865585   39.402523 ],1,209.0,36.0
[-104.88742,2,200.0,30.0
[-104.8918195,3,47001.0,74.0
[-104.8927402496,1,943.0,49.0
[-104.8929364,1,481.0,44.0
[-104.892942,1,1500.0,54.0
[-104.894125,1,485.0,44.0
[-104.89635,1,100.0,30.0
[-104.89843,1,317.0,40.0
[-104.89868,1,100.0,30.0
[-104.8986846,1,208.0,36.0
[-104.900549,1,971.0,50.0
[-104.9009705,1,263.0,38.0
[-104.9012619,3,482.0,33.666666666666664
[-104.90272    39.709037],1,406.0,42.0
[-104.90421,2,265.0,32.5
[-104.9042732,1,272.0,39.0
[-104.90456,1,320.0,40.0
[-104.9062,1,385.0,42.0
[-104.9079971,1,237.0,37.0
[-104.91138,1,367.0,41.0
[-104.91179,1,950.0,50.0
[-104.91272,1,327.0,40.0
[-104.9128177,1,81.0,28.0
[-104.9163,1,217.0,37.0
[-104.9168,1,100.0,30.0
[-104.917204,1,110.0,31.0
[-104.9173977,1,164.0,34.0
[-104.91858,2,200.0,30.0
[-104.91879,1,223.0,37.0
[-104.91956,1,200.0,36.0
[-104.9250828,3,811.0,38.666666666666664
