model,rmse,mae,r2
Random Forest,39.63787989970053,20.782436423858105,0.7403583769611162
CatBoost,41.161917173558656,20.733055245001072,0.7200086147298769
Decision Tree,45.38614050664817,24.902223553664903,0.6595918205201778
KNN (Baseline),47.30864880260749,27.18273170731707,0.630142381621563
XGBoost,50.75696165865882,21.035557742235138,0.5742597463764265
