venue_id,venue_name,venue_capacity,venue_postal_code,venue_city,venue_state_code,venue_latitude,venue_longitude,tm_api_status
Z7r9jZaAA2,The Amp Ballantyne,,28277,Charlotte,NC,35.053299000,-80.813004000,Success
rZ7HnEZ17394P,Forest Hill Church,,28210,Charlotte,NC,35.1348107,-80.8566764,Success
Z7r9jZaASw,Forest Hill Church - South Park Campus,,28210,Charlotte,NC,35.128899000,-80.855698000,Success
Z6r9jZAdde,Coyote Joes,,28208,Charlotte,NC,35.221001000,-80.927597000,Success
KovZpZAJea1A,Corona Mountaintop Lodge,,V8E 0X9,Whistler,BC,38.307256,-77.478525,Success
rZ7HnEZ17fEAP,The Premier,,28601,Hickory,NC,35.7334237,-81.3572564,Success
rZ7HnEZ174_ZI,Christ Chapel Church,,22192,Woodbridge,VA,38.64690,-77.30086,Success
Z7r9jZaA1m,Christ Chapel - Woodbridge,,22192,Woodbridge,VA,38.683899000,-77.324600000,Success
KovZpZAEk6JA,Jiffy Lube Live,,20136,Bristow,VA,38.78611990,-77.58777700,Success
ZFr9jZ6e17,George Mason Center for the Arts,,22030,Fairfax,VA,38.837898000,-77.345001000,Success
KovZpZAE76EA,EagleBank Arena,,22030,Fairfax,VA,38.83305130,-77.30985030,Success
KovZ917A5LV,The Theater at MGM National Harbor,,20745,National Harbor,MD,38.79170700,-77.00300200,Success
Z7r9jZad_t,Wolf Trap Filene Center,,22181,Vienna,VA,38.906200000,-77.294899000,Success
KovZpa3rme,Birchmere,,22305,Alexandria,VA,38.83978700,-77.06133900,Success
KovZ917AJ17,Capital One Hall,,22102,Tysons,VA,38.92534800,-77.21205800,Success
KovZ917ARno,The Vault at Capital One Hall,,22102,Tysons,VA,38.92561000,-77.21158000,Success
KovZ917AQjV,Union Stage,,20024,Washington,DC,38.87868900,-77.02409700,Success
KovZ917A3Y7,The Anthem,,20024,Washington,DC,38.88009900,-77.02616500,Success
Z7r9jZadfE,Union Stage,,20024,Washington,DC,38.877998000,-77.019798000,Success
KovZpZA1J67A,Nationals Park,,20003,Washington,DC,38.87300500,-77.00741200,Success
KovZpaKdYe,DAR Constitution Hall,,20006,Washington,DC,38.89348370,-77.04174910,Success
ZFr9jZak17,Kennedy Center - Concert Hall,,20566,Washington,DC,38.900501000,-77.049004000,Success
ZFr9jZak1k,Kennedy Center - Terrace Theater,,20566,Washington,DC,38.900501000,-77.049004000,Success
KovZpZAa1eEA,Lisner Auditorium,,20052,Washington,DC,38.89940401,-77.04714194,Success
KovZpZAJv7aA,Warner Theatre,,20004,Washington,DC,38.89612090,-77.02961010,Success
KovZpZAFk6lA,The National Theatre,,20004,Washington,DC,38.89626652,-77.03053035,Success
KovZ917AJq3,Soundcheck,,20005,Washington,DC,38.90213500,-77.03281100,Success
KovZpaKuJe,Capital One Arena,,20004,Washington,DC,38.89741200,-77.02002900,Success
ZFr9jZ1a76,The Hamilton,,20005,Washington,DC,38.904202000,-77.031502000,Success
KovZ917AxBz,RFK Campus,,20003,Washington,DC,38.88920600,-76.97420700,Success
ZFr9jZaaeF,Howard Theatre-DC,,20001,Washington,DC,38.910198000,-77.017899000,Success
ZFr9jZd6kF,Black Cat,,20009,Washington,DC,38.919701000,-77.037598000,Success
