lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name
,,,2000s Rave
"2,198,610","206,182,331",tRap,21 Savage
"4,081","17,194",Merge,"21 Savage, Burna Boy"
"5,348","31,513",Merge,"21 Savage, Lil Durk"
"34,214","724,667",Rap,"21 Savage, Offset"
"3,163","21,225",,"21 Savage, Tommy Newport"
"9,084","85,405",Merge,"21 Savage, Travis Scott"
"5,647","29,891",Merge,"21 Savage, Young Thug"
,,,24K Magic - The #1 Tribute to Bruno Mars
"45,969","387,273",Pop,2Gether
"4,742","13,271",,2'Live Bre
"65,815","413,277",G-funk,2nd II None
"3,033","26,895",seattle,2nu
"4,019,004","138,603,006",Rap,2Pac
13,89,,2Pac + Outlawz
1,1,,2Pac Duet With Mopreme
3,3,,"2Pac, Notorious B.I.G., Radio, Dramacydal"
"3,478,797","87,564,501",alternative rock,3 Doors Down
106,"1,293",,3 Man Island
"247,903","2,172,325",Hip-Hop,310babii
"281,467","2,848,127",,38 Special
"189,903","1,263,706",RnB,3LW
"1,815,115","52,661,704",Electronic,3OH!3
"114,755","774,508",Hip-Hop,3rd Bass
"8,136","36,139",dance,3rd Party
"167,725","829,895",Pop,3T
158,857,quietstorm,4 By Four
,,,4 Lads From Liverpool
"1,329,676","10,531,389",rock,4 Non Blondes
"26,990","139,465",RnB,4 The Cause
24,170,,4*TOWN (From Disney
"367,523","12,359,891",Rap,42 Dugg
"91,203","1,914,944",appalachian,49 Winchester
133,324,,49-ers
"204,105","2,032,950",Electronic,49th
"11,348","82,186",hip hop,4L Javi
"7,825","12,764",,4ourty8
"3,162","22,382",,4PM
94,230,,5 Satins
42,376,,5 Stairsteps
"4,751,349","111,824,282",Rap,50 Cent
"35,819","126,031",Disco,5000 Volts
"54,239","251,402",Hip-Hop,504 Boyz
"398,815","4,510,307",indie,54 Ultra
"94,826","375,231",miami bass,69 Boyz
"1,105,296","30,090,283",Hip-Hop,6ix9ine
"5,390","39,050",Hip-Hop,"6ix9ine, Fetty Wap"
"964,846","37,291,696",RnB,6LACK
39,60,,7 Bridges
,,,7 Chinese Bros
"1,371","10,746",90s,7 Mile
48,"1,264",Pop,70 Lewis
"21,377","124,370",Pop,76th Street
"70,326","476,357",rock,7Horse
"10,560","93,545",hard rock,7th Heaven
"10,023","32,822",cover,80's Live
"81,582","617,355",,932sounds
"14,004","55,612",miami bass,95 South
,,,95.5 Jingle Ball Iheart Radio
,,,96.1 The Beat's Jingle Ball
,,,96.3 Star Country Class Of
"162,102","1,395,114",Pop,98 Degrees
,,,A Brother's Revival
,,,A Carpenters Christmas
"2,588","21,947",,A Charlie Brown Christmas
,,,A Charlie Brown Jazz Christmas
123,"1,383",,A Family Christmas
"7,021","37,634",RnB,A Few Good Men
"160,212","3,043,297",indie rock,A Great Big Pile of Leaves
"821,727","8,260,205",indie,A Great Big World
28,235,,A John Waters Christmas
,,,A Merry-achi Christmas
"2,157,559","111,779,813",alternative rock,A Perfect Circle
,,,A Peter White Christmas
59,668,,A R Rahman
