lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name
"19,608","87,881",House,Chus
"1,237,027","68,517,123",SynthPop,CHVRCHES
"2,708,803","44,419,474",RnB,Ciara
"72,987","746,746",Rap,Cico P
"189,522","1,284,832",Electronic,CID
"2,717,313","282,194,892",dream Pop,Cigarettes After Sex
"148,996","1,153,468",60s,Cilla Black
,,,Cin City Burlesque
,,,Cincinnati Music Festival presented by P&G
"675,277","10,360,939",hard rock,Cinderella
"95,369","448,860",Soundtrack,Cindy Bullens
"196,906","3,689,999",Electronic,Cinnamon Chasers
511,"1,983",,Cipha Sounds
"396,009","8,161,839",hardcore punk,Circle Jerks
2,17,,CircuitMOM
"26,862","232,713",Progressive rock,Circus
"36,964","197,763",soul,Cissy Houston
"121,115","661,258",alternative rock,Citizen King
"32,886","328,478",rock,City Boy
"669,492","12,885,985",Rap,City Girls
"194,740","1,050,891",RnB,City High
"181,916","1,908,022",indie,City of the Sun
"133,737","1,489,550",hardcore punk,Civ
"376,623","3,301,294",Rap,CJ
"1,162","2,088",,Cj Hooper
"693,464","8,982,890",RnB,CKay
"438,697","10,593,246",k-Pop,CL
"2,774,098","319,865,817",indie Pop,Clairo
"62,414","1,168,296",Tolkien,Clamavi De Profundis
"1,026,623","23,470,549",Hip-Hop,Clams Casino
"1,091,088","22,525,904",indie,Clap Your Hands Say Yeah
"5,510","17,853",,Clara Cuvé
"499,074","10,542,193",alternative RnB,Clara La San
932,"2,728",spotify,Clarence Ashe
"423,755","2,139,309",soul,Clarence Carter
"9,305","31,991",rock,Clarence Clemons
"8,197","27,711",,Clarence Henry
"49,609","203,710",funk,Clarence Reid
421,"4,101",90s,Classic Example
,,,Classic Seger: Bob Seger's Greatest Hits Live!
,,,Classic Skynyrd
,,,Classic Stones Live
"138,117","708,665",classic rock,Classics IV
"22,784","178,447",quebecois,Claude Dubois
"3,055","10,567",great,Claude Gray
"30,292","135,651",Country,Claude King
"17,566","71,190",soul,Claudine Clark
"100,323","754,270",french,Claudine Longet
"25,074","116,132",Disco,Claudja Barry
"137,216","1,687,499",Pop,Clay Aiken
"5,662","48,637",Country,Clay Davidson
"306,680","2,646,109",Country,Clay Walker
128,202,,Clayton Cameron
"2,392,843","47,714,743",Electronic,Clean Bandit
764,"4,467",70s,Clean Living
30,115,,Cledus Maggard
"7,843","24,737",Garage Rock,Clefs Of Lavender Hill
43,159,,Clem Burke
220,"3,936",,Clement Jacques
"42,150","264,178",Pop,Cleopatra
50,83,,Cleveland Crochet
"20,480","101,614",Classical,Cleveland Orchestra
69,276,,Cliff DeYoung
"390,182","10,066,315",ambient,Cliff Martinez
"4,432","19,348",All,Cliff Nobles
"720,653","5,589,578",Pop,Cliff Richard
"6,973","24,523",soul,Clifford Curry
"38,843","178,913",hardcore,Climax
"132,307","937,870",blues rock,Climax Blues Band
"145,410","800,913",Pop,Climie Fisher
"269,649","2,794,093",Country,Clint Black
77,629,,Clint Black With Steve Wariner
"1,021","3,134",,Clint Black With Wynonna
"9,613","29,052",70s,Clint Holmes
"1,080,393","32,054,599",Soundtrack,Clint Mansell
"418,393","9,072,779",alternative,Clinton Kane
"55,605","1,353,775",,Clipping
"1,136,882","32,563,953",Hip-Hop,Clipse
,,,ClipseFeaturingJohn Legend& Voices Of Fire
,,,ClipseFeaturingKendrick Lamar
,,,"ClipseFeaturingTyler, the Creator"
"3,023","11,620",Pop,Clive Griffin
"15,473","46,801",dance,Clivilles
"12,398","71,764",DJENT,Clocks
"253,921","2,491,315",House,Cloonee
"157,232","1,378,611",deep house,Cloud
"7,276","26,585",House,Clouded.
"53,437","398,339",70s,Clout
77,531,,Club 69
,,,Club 90s
"10,584","52,691",House,Club House
"105,163","461,290",80s,Club Nouveau
,,,Club Seating: Paramount Theatre
"13,611","83,943",ska,Clubland
"116,676","490,464",soul,Clyde McPhatter
"1,220","4,749",old,Clyde Stacy
"234,122","7,079,772",irish,CMAT
"51,226","451,922",indie rock,Coach Party
"1,704,560","46,088,139",Pop Punk,Cobra Starship
"1,021","8,788",afrobeat,Cochemea Gastelum
"938,369","38,034,107",rock,Cochise
"185,281","1,451,729",80s,Cock Robin
"316,754","6,118,917",Pop,Coco Jones
"81,507","730,445",blues,Coco Montoya
"10,858","213,815",punk,Codefendants
19,31,,Cody Jameson
"127,762","3,573,662",Country,Cody Jinks
"248,106","8,192,086",Country,Cody Johnson
"9,055","20,793",,Cody Matlock
"194,488","7,138,887",,Coeur De Pirate
"751,532","8,216,437",Rap,Coi Leray
"11,483","59,536",Electronic,Cokasian
"22,853","167,407",gospel,Coko
"2,022,383","36,363,045",Pop,Colbie Caillat
"1,138","5,660",,Colby O'Donis
"867,148","17,671,805",alternative rock,Cold
"33,572","169,358",funk,Cold Blood
"300,305","6,710,175",Electronic,Cold Cave
"8,872,136","758,437,531",rock,Coldplay
149,"2,253",,Coldplay With Jay-Z
"22,909","2,853,590",bts,Coldplay x BTS
"7,202","62,023",Merge,Coldplay X Selena Gomez
"3,228","18,587",,Cole Hallman
"235,392","4,517,456",Country,Cole Swindell
6,11,,Cole Swindell / Lainey Wilson
"622,655","7,494,801",acoustic,Colin Hay
"11,936","62,993",,Colin James Hay
"47,933","545,690",Progressive rock,Collage
253,781,Rock and Roll,Collay
"1,314,138","19,293,732",alternative rock,Collective Soul
"616,487","7,419,282",SynthPop,College
"397,371","4,997,834",reggae,Collie Buddz
"174,429","1,872,375",Country,Collin Raye
"80,600","1,225,917",video game music,Collosia
"90,514","1,472,821",folk,Colm R. McGuinness
"347,001","4,015,075",indie rock,Colony House
"264,686","1,369,907",Pop,Color Me Badd
8,8,,Colorado Springs Philharmonic
259,"2,067",,Colorado Symphony Orchestra
"25,986","497,999",screamo,Colors
108,"1,686",,Colourhaus
"120,035","1,491,550",Country,Colt Ford
"416,956","14,296,936",Country,Colter Wall
"967,279","18,081,899",chillwave,Com Truise
"393,713","10,134,437",indie Pop,Coma Cinema
,,,Comfortably Numb... Canada's Pink Floyd Show
"15,588","100,558",Country,Commander Cody
333,"1,058",,Commma
"1,297,849","10,338,175",soul,Commodores
"1,923,898","42,329,382",Hip-Hop,Common
"48,837","261,499",freestyle,Company B
"2,304,301","229,700,435",Pop,Conan Gray
"8,335","91,687",Classical,Concerto Köln
"286,955","4,007,945",alternative rock,Concrete Blonde
"1,267","7,215",post-hardcore,Conductor
"2,413","14,807",,ConFunkShun
"7,193","76,007",,Congress the Band
"119,758","713,282",,ConKi
"65,953","1,039,267",Pop,Conner Smith
"866,898","13,943,289",oldies,Connie Francis
"67,534","368,335",60s,Connie Stevens
"40,820","178,986",Classical,Conrad Tao
263,851,drjazzmrfunkmusic,Consumer Rapport
"23,909","787,060",metalcore,Contention
27,114,,Continental Miniatures
"390,685","4,181,834",Country,Conway Twitty
,,,Conway Twitty with Joni Lee
"12,365","57,053",G-funk,Coo Coo Cal
160,615,,Cooker
"8,445","40,952",punk,Cookie
3,8,,Cool Breeze
"2,042,520","16,760,392",Rap,Coolio
578,"4,554",Canadian,Cooper Brothers
9,21,,Cooper Brothers Band
"83,569","1,734,967",Country,Corb Lund
"140,518","912,427",Pop,Corbin Bleu
"772,036","22,404,418",Rap,Cordae
"2,915","9,119",,Corena
3,5,,Corey
"527,954","3,308,952",new wave,Corey Hart
"94,163","1,421,829",Pop,Corey Kent
"68,536","1,010,677",folk rock,Corey Smith
"47,940","371,815",freestyle,Corina
"2,073,693","28,796,978",soul,Corinne Bailey Rae
138,325,,CoRnBread
"141,053","950,112",soul,Cornelius Brothers
"33,417","205,677",freestyle,Coro
"812,958","5,587,242",eurodance,Corona
"62,028","565,767",indie rock,Corridor
,,,Corrie Sachs
"44,646","390,912",jazz,Corto.alto
"3,373","18,568",,Cory
"50,298","796,689",singer-songwriter,Cory Branan
"1,438","8,217",70s,Cory Daye
"71,929","686,408",jazz,Cory Henry
"193,464","4,439,823",funk,Cory Wong
"462,109","6,606,277",Trance,Cosmic Gate
,,,Cosmic Jerry Band
"1,087","5,198",rock,"Cotton, Lloyd"
"98,374","1,643,929",post-rock,Couch
"696,748","7,042,281",jazz,Count Basie
"190,472","1,145,645",,Count Five
"2,986,587","58,960,291",rock,Counting Crows
74,488,Pop,Country Coalition
1,26,,Country Dance Party
"234,417","1,844,734",Psychedelic Rock,Country Joe
"52,050","255,697",folk,Country Joe McDonald
,,,Country MUSIC SHOWCASE
22,73,,Country Thunder
"27,864","176,840",Sweden,Cour
"115,613","1,442,265",folk,Courtney Marie Andrews
"75,400","1,329,539",Psychedelic Rock,Coven
"63,769","333,897",Southern Rock,cowboy
"13,277","69,564",Country,Cowboy Copas
"486,440","7,534,828",Alt-Country,Cowboy Junkies
26,213,,Coyote Sisters
"736,356","9,323,657",indie rock,Coyote Theory
"11,427","58,957",jazz,Cozy Cole
"46,182","286,933",hard rock,Cozy Powell
"13,983","74,756",power Pop,Crabby Appleton
"409,441","4,159,830",alternative rock,Cracker
"87,758","653,144",Country,Craig Campbell
"1,245,396","17,609,244",RnB,Craig David
"261,806","1,581,821",Hip-Hop,Craig Mack
"499,995","4,138,325",Country,Craig Morgan
"2,629","33,423",Country,Craig Wayne Boyd
"120,654","2,132,611",melodic dubstep,Crankdat
192,"1,128",,Crash Craddock
"672,037","7,416,635",rock,Crash Test Dummies
"3,607","34,155",blues rock,Crawler
"8,166","62,883",punk,Crazy
"19,761","80,633",60s,Crazy Elephant
"622,621","5,317,419",Electronic,Crazy Frog
"1,206,145","11,400,035",Rapcore,Crazy Town
,,,Crazy Train - The Ozzy Experience
"2,723,669","45,265,070",classic rock,Cream
"43,345","172,058",funk,Creative Source
"2,344,909","53,886,683",rock,Creed
"8,902","168,332",Country,Creed Fisher
"3,968,947","118,240,898",classic rock,Creedence Clearwater Revival
,,,Creedence Clearwater Revival Tribute Show
,,,Creedence Revived: the World's Ultimate CCR Tribute
731,"6,594",,Crime Mob
"505,469","26,623,040",new wave,Cris Mj
"44,445","217,972",60s,Crispian St. Peters
"240,931","4,134,611",latin,Cristian Castro
"407,871","23,355,576",Rap,CRO
"3,938","23,266",Home collection,Crooklyn Dodgers '95
"1,046,964","13,897,823",folk rock,"Crosby, Stills"
"1,302,747","18,945,531",classic rock,"Crosby, Stills, Nash"
"89,617","1,505,689",Country,Cross Canadian Ragweed
"2,070","14,714",Southern Rock,Cross Country
"1,165,408","18,318,698",alternative rock,Crossfade
"48,744","306,082",Classical,Crouch End Festival Chorus
"21,454","260,791",Crust,CROW
"1,843,922","29,308,285",rock,Crowded House
"76,138","1,396,206",christian,Crowder
"47,605","246,594",funk,Crown Heights Affair
11,18,,CRU
"29,059","174,555",Rap,Crucial Conflict
"584,384","23,618,652",RnB,CRUSH
"30,753","471,302",singer-songwriter,Crystal Bowersox
"3,057,940","229,332,668",Electronic,Crystal Castles
"168,011","1,321,626",Country,Crystal Gayle
,,,Crystal Mansion
"79,947","700,067",House,Crystal Rock
"746,788","5,841,452",House,Crystal Waters
41,319,,C-Side
,,,CSN Express – Crosby Stills
"820,230","19,843,225",,CSS
51,521,,Cugini
"342,568","7,390,411",outsider house,Cult Member
"2,369,968","52,680,555",indie Pop,Cults
"634,695","4,324,732",eurodance,Culture Beat
"1,340,858","11,861,106",80s,Culture Club
"793,008","16,151,219",Rap,CupcakKe
"216,395","1,051,172",RnB,Cupid
"10,474","148,022",brazil,Curawaka
"65,708","437,826",80s,Curiosity Killed The Cat
923,"3,239",,Curos
,,,Curren$Y
"20,785","244,364",emo,Current
"1,655,638","61,972,207",indie,Current Joys
"261,811","17,433,434",metalcore,Currents
"687,761","23,771,288",indie rock,Cursive
54,117,,Curtie
"398,642","4,654,164",soul,Curtis Harding
"70,265","311,120",60s,Curtis Lee
"1,418,406","20,064,737",soul,Curtis Mayfield
"18,283","116,183",blues,Curtis Salgado
"175,089","1,160,278",jazz,Curtis Stigers
"315,650","3,833,707",turntablism,Cut Chemist
"24,080","112,352",eurodance,Cut 'N' Move
"1,205,184","9,568,654",80s,Cutting Crew
"15,270","34,947",,Cwby
"5,110","17,873",All,Cyclones
"368,464","3,814,196",funk,Cymande
"1,600","5,696",Pop,Cymarron
"221,476","2,265,405",Pop,Cyn
"4,056","19,904",Technical Progressive Brutal Death Metal,Cyndi Grecco
"2,903,574","36,728,855",Pop,Cyndi Lauper
"16,820","143,961",Country,Cyndi Thomson
"37,338","230,722",freestyle,Cynthia
"645,080","16,100,140",soul,Cynthia Erivo
"2,241,274","53,232,871",Hip-Hop,Cypress Hill
408,"4,278",,Cyril Stapleton
"55,049","297,924",vocal jazz,Cyrille Aimee
"59,878","294,907",funk,D Train
"9,654","35,313",Disco,D.C. LaRue
"68,801","525,268",dance,D.H.T.
"3,490","27,169",,D.J. Jazzy Jeff
"30,146","156,131",soul,D.J. Rogers
49,71,,D.R.A.M.
"215,564","7,304,488",crossover,D.R.I.
"1,707,368","18,215,408",Rap,D12
"336,735","1,549,484",Hip-Hop,D4L
"2,199,719","107,912,040",Pop,d4vd
333,492,,D4WNATELLO
"171,216","1,001,613",Rap,Da Brat
"34,328","281,798",Hip-Hop,Da Youngsta's
"1,414,455","51,977,437",Rap,DaBaby
,,,DaBaby X Lil Wayne
190,335,,DaBaby x Stunna 4 Vegas
"7,307","23,850",liszaj radio,Daddy Dewdrop
"2,100,439","47,470,776",Reggaeton,Daddy Yankee
"63,396","373,072",Hip-Hop,Dae Dae
"105,948","1,316,954",bedroom Pop,Daffo
"6,482","37,332",drums,Dafnis Prieto
,,,Daft Disko
"6,139,450","391,221,386",Electronic,Daft Punk
,,,Daft Punk Night
"265,855","5,903,842",piano,daigoro789
"17,438","136,820",bluegrass,Dailey
"44,271","554,201",dutch,Daily Bread
"11,029","55,226",eurodance,Daisy Dee
"5,630","52,905",liszaj radio,Dakota Moon
"15,328","54,597",oldies,Dale
"87,928","413,154",rockabilly,Dale Hawkins
890,"2,970",,Dale Ward
"68,128","802,174",Country,Dale Watson
5,47,,Dale Wright
"1,146","5,717",Country,Dallas Frazier
"3,750","15,593",Classical,Dallas Symphony Orchestra
"61,175","402,537",psyTrance,Damage
"2,844","11,871",Drum and bass,Damage Inc
"108,430","2,212,333",,"Damian ""Jr. Gong"" Marley"
"2,029","15,619",RnB,Damian Dame
"346,769","6,912,047",Pop,Damiano David
"93,307","1,326,794",heavy metal,Damien
"5,893","49,112",jazz,Damien Escobar
"2,154,831","70,543,822",singer-songwriter,Damien Rice
427,"2,355",,Damien Sneed
"7,336","30,493",jazz,Damita Jo
,,,Damizza Presents Shade Sheist
,,,Damn the Torpedoes - a Tribute To Tom Petty
"223,351","1,867,657",hard rock,Damn Yankees
"8,725","70,120",blues,Damon Fowler
"158,600","20,894,819",Rap,DAMSO
421,"2,224",,Dan + Shay
"593,433","8,788,893",blues rock,Dan Auerbach
"8,703","91,533",Southern Rock,Dan Baird
"487,178","10,110,230",Electronic,Dan Deacon
"346,195","3,160,571",singer-songwriter,Dan Fogelberg
74,800,,Dan Fogelberg/Tim Weisberg
"306,317","1,627,784",Disco,Dan Hartman
"96,097","596,588",Pop,Dan Hill
7,49,,Dan Hill (Duet With Vonda Shepard)
242,"2,349",,Dan Lepien
"203,171","3,995,355",Canadian,Dan Mangan
"4,352","15,538",Pop,Dan Navarro
"1,149","10,020",soft rock,Dan Peek
"14,976","204,871",rock,Dan Reed Network
"160,131","3,184,179",Soundtrack,Dan Romer
"52,887","576,596",Country,Dan Seals
168,438,,Dan Tyminski Band
"114,792","496,686",Pop,Dana
"197,951","1,820,100",female vocalists,Dana Fuchs
225,836,,Dana Rollin
"9,924","34,531",northern soul,Dana Valery
"103,836","1,341,446",House,Dance Fruits Music
"123,577","2,002,005",ska,Dance Hall Crashers
"263,936","12,549,398",synthwave,Dance With The Dead
62,293,,"Dancer, Prancer"
409,"1,867",,Dancing with the Stars
"1,229,952","29,159,717",soul,D'Angelo
"190,181","2,677,048",hard rock,Danger Danger
"133,357","5,626,012",neofolk,Danheim
"573,045","5,134,283",Pop,Daniel Bedingfield
,,,Daniel Bonte
"54,230","234,055",70s,Daniel Boone
"2,188,828","210,257,646",RnB,Daniel Caesar
"127,276","3,474,094",Dark-RnB,Daniel Di Angelo
"17,593","244,316",Country,Daniel Donato
"357,853","4,785,555",singer-songwriter,Daniel Lanois
"206,262","5,801,636",Soundtrack,Daniel Licht
"1,248,838","11,272,621",Pop,Daniel Powter
"10,805","58,476",rock,Daniel Rodriguez
150,954,,Daniel Romano’s Outfit
"97,883","883,275",Soundtrack,Daniele Luppi
"111,257","1,350,461",Country,Danielle Bradbery
"29,502","320,229",piano,Daniil Trifonov
1,1,,DaniLeigh
"5,922","86,762",Classical,Danish String Quartet
"62,118","744,933",acoustic,Danit
"684,117","9,157,227",Pop,Danity Kane
"378,277","11,572,783",hard rock,Danko Jones
92,393,,Dann Rogers
"2,107","16,013",Alt-Country,Danni Nicholls
"173,206","731,012",Rock and Roll,Danny
"140,537","859,493",Electronic,Danny Avila
"1,065,543","66,504,229",Hip-Hop,Danny Brown
"1,575,428","33,345,203",Soundtrack,Danny Elfman
"85,642","1,244,511",American Idol,Danny Gokey
658,"2,556",,Danny Holien
"2,835","10,050",All,Danny Hutton
"75,663","389,364",singer-songwriter,Danny O'Keefe
30,"2,111",,Danny Peppermint
29,42,,Danny SeRaphine
247,846,,Danny Valentino
"25,144","72,731",New Orleans,Danny White
"46,383","172,610",jazz,Danny Williams
"95,843","562,107",Pop,Danny Wilson
137,335,,Danny Zella
101,713,,Dante
127,940,,Dante Thomas
"22,849","83,606",All,Danyel Gerard
"1,116,474","26,337,294",heavy metal,Danzig
"264,225","3,541,776",folk,Dar Williams
"350,831","8,755,945",wave,Darci
"11,091","111,787",singer-songwriter,Darden Smith
"3,572","27,824",latin,Dareyes de La Sierra
"797,034","14,294,801",Soundtrack,Dario Marianelli
"730,474","8,711,314",Country,Darius Rucker
"2,417","7,152",Pink Floyd,Dark Side of the Moon
20,117,,Dark Side of the Wall
"9,658","64,587",Jam Bands,Dark Star Orchestra
"301,864","13,330,881",metalcore,Darkest Hour
"45,166","185,477",United States,Darkrose
"962,609","5,527,330",soul,Darlene Love
"41,181","209,173",soul,Darrell Banks
"254,975","6,908,320",Pop,Darren Hayes
"356,409","17,704,767",Soundtrack,Darren Korb
"14,947","59,594",soul,Darrow Fletcher
"187,581","1,277,319",Country,Darryl Worley
"1,198,659","9,872,943",Trance,Darude
"68,305","529,515",australian,Daryl Braithwaite
573,"2,942",blues,Daryl Davis
"156,453","1,062,980",Pop,Daryl Hall
867,"15,400",,Daryl Hall John Oates
"44,593","400,412",Country,Daryle Singletary
"328,774","3,212,729",Hip-Hop,Das EFX
1,1,,Das EFX (Featuring Mobb Deep)
"519,537","5,270,896",Country,Dasha
"1,584,005","53,787,268",indie,Dashboard Confessional
"1,484,249","56,205,499",indie,Daughter
"1,492,641","36,522,994",rock,Daughtry
"1,178,368","69,361,460",french,Dave
"36,734","120,664",instrumental,"Dave ""Baby"" Cortez"
"4,120","24,046",60s,"Dave Dee, Dozy, Beaky, Mick"
"90,697","513,324",Country,Dave Dudley
"183,272","1,394,741",rock,Dave Edmunds
"20,018","169,112",Country,Dave Fenley
28,99,,Dave Gonzalez
1,1,,Dave Hause
"129,959","796,967",RnB,Dave Hollister
164,"5,275",acoustic,Dave Jordan
"216,276","2,716,843",Smooth Jazz,Dave Koz
,,,Dave Koz Christmas
"46,326","234,778",folk,Dave Loggins
"146,364","1,045,258",classic rock,Dave Mason
"1,714,427","67,650,711",rock,Dave Matthews Band
124,"1,123",,Dave Matthews Tribute Band
"148,762","1,555,741",Soundtrack,Dave Porter
"6,223","27,694",folk,Dave Simonett
"3,274","23,123",blues,Dave Specter
742,"6,479",,Dave Stewart
23,40,,Dave York
1,1,,Daveedtheking
"15,575","118,373",rock,David
20,86,,David A. Stewart Introducing Candy Dulfer
"566,481","13,838,699",Pop,David Archuleta
"416,350","6,590,545",new age,David Arkenstone
"388,327","6,817,076",Soundtrack,David Arnold
"45,061","312,115",Country,David Ball
"520,317","3,154,316",Rap,David Banner
474,"1,669",artists with beards,David Bellamy
"219,973","2,181,776",Smooth Jazz,David Benoit
"6,615","44,441",folk,David Blue
"5,423,358","388,705,633",glam rock,David Bowie
"4,226","16,413",,David Bowie/Pat Metheny Group
"3,179","40,732",jazz,David Carroll
"89,209","571,048",Pop,David Cassidy
"6,040","15,262",70s,David Castle
"350,493","11,171,449",rock,David Cook
"224,435","2,220,221",folk rock,David Crosby
211,"1,724",,David Crosby/Graham Nash
"35,496","186,777",Pop,David Dundas
"207,009","1,123,094",Pop,David Essex
"98,880","960,702",folk,David Ferguson
"113,895","839,000",instrumental,David Foster
"57,183","819,745",piano,David García Díaz
"70,124","584,497",male vocalists,David Gates
"10,757","47,941",70s,David Geddes
"774,731","18,834,153",Progressive rock,David Gilmour
"1,443,783","25,864,866",singer-songwriter,David Gray
"5,038,185","179,131,761",House,David Guetta
"3,008","22,458",france,"David Guetta, Alphaville"
"5,301","38,017",,"David Guetta, Anne-Marie"
"20,579","174,370",french,David Hallyday
"12,827","48,710",Classical,David Hill
"40,352","222,835",classic Country,David Houston
"18,236","152,255",didgeridoo,David Hudson
"16,563","76,685",House,David Jones
"3,917","61,948",Country,David Kersh
"941,212","21,811,876",indie,David Kushner
388,"1,665",Progressive rock,David Laflamme
"1,568","9,569",jazz,David Lasley
"205,368","1,218,768",Country,David Lee Murphy
"421,288","4,093,590",hard rock,David Lee Roth
"273,542","2,185,651",Country,David Nail
"11,652","44,642",Disco,David Naughton
"109,388","1,446,260",Soundtrack,David Newman
"21,481","142,949",AOR,David Pack
407,"5,814",Rowdy,David Pineau
"68,405","810,004",folk,David Ramirez
"4,012","15,237",,David Rose
"220,428","1,273,828",soul,David Ruffin
"185,027","1,906,552",jazz,David Sanborn
"47,131","136,269",60s,David Seville
"83,227","470,745",70s,David Soul
"43,453","1,061,058",,David Tao
346,"3,175",,David Thorne
"47,317","611,392",singer-songwriter,David Wilcox
"2,223","13,550",,Davie Allan
"26,781","157,865",soul,Davina
,,,Davone Tines
"21,007","154,512",Electronic,davvn
"18,556","160,028",Pop,Davy Jones
"11,257","96,441",blues-rock,Davy Knowles
"417,992","6,523,850",folk,Dawes
"181,605","1,093,824",Hip-Hop,Dawin
"173,096","1,433,825",black metal,Dawn
"385,523","2,324,790",reggae,Dawn Penn
1,24,,Day Out with Thomas
"302,298","1,992,226",RnB,DAY26
"810,831","9,384,520",Pop,Daya
2,2,,Daya Blaze
"54,708","564,544",melodic hardcore,Daybreak
,,,DAYBREAK - The Music
"1,352,637","36,043,291",indie,Dayglow
"246,609","14,385,206",post-hardcore,Dayseeker
"40,854","201,060",soul,Dayton
"161,335","1,112,061",eurodance,Daze
"268,314","1,436,909",funk,Dazz Band
"344,410","16,660,738",Hip-Hop,D-Block Europe
"183,142","3,479,697",christian,dc Talk
,,,DCI: Drum Corps International
"566,386","10,669,282",Rap,DDG
"1,429,169","31,283,239",Hip-Hop,De La Soul
"301,978","3,280,710",punk,Dead Boys
32,"1,320",to get,Dead Floyd
,,,Dead Letter Office - REM Tribute
"1,374,520","13,001,116",new wave,Dead Or Alive
"27,864","147,847",rock,Deadeye Dick
"34,208","442,069",metalcore,Deadlands
"2,098,553","78,731,492",Progressive House,deadmau5
296,"1,109",,Dean
251,949,rock n roll,Dean Christie
"21,109","188,686",singer-songwriter,Dean Friedman
"22,533","232,512",saw live,Dean Johnson
"921,873","24,472,006",indie,Dean Lewis
"2,825,359","40,851,379",jazz,Dean Martin
"19,419","86,556",northern soul,Dean Parrish
"4,052","45,759",Country,Dean Reed
4,9,,Dean Z
"246,910","1,747,203",Country,Deana Carter
"1,093","3,201",,Deane Hawley
"273,817","7,278,783",thrash metal,Death Angel
"3,734,913","246,299,513",indie,Death Cab For Cutie
"69,575","1,290,193",emo Rap,Death Plus
,,,DEATH STRANDING: Strands of Harmony
"205,487","3,171,234",tRap,DeathbyRomy
"50,889","649,490",slowcore,deathcrash
61,323,,Debbie Campbell
"14,255","45,103",soul,Debbie Dean
"3,461","11,649",Pop,Debbie Dovale
"284,420","2,322,073",Pop,Debbie Gibson
"72,611","540,026",,Debbie Harry
"11,433","46,597",Disco,Debbie Jacobs
"96,426","441,640",50s,Debbie Reynolds
"17,099","60,461",soul,Debbie Taylor
"48,284","205,462",Pop,Debby Boone
"38,025","217,238",RnB,Debelah Morgan
"8,489","67,036",Country,Deborah Allen
"263,953","2,090,908",RnB,Deborah Cox
"1,243","3,579",,Deborah Cox With R.L.
"30,502","157,655",soul,Debra Laws
"27,545","423,654",thrash metal,Decadence
"25,587","655,371",death metal,Deceased
,,,Decibel Metal
"1,380,482","45,646,620",indie rock,Declan McKenna
"73,132","287,609",soul,Dee Clark
"85,974","381,184",soul,Dee Dee Sharp
"40,796","175,040",soul,Dee Dee Warwick
141,702,,Dee Jay
"767,604","6,590,211",dance,Deee-Lite
"745,826","4,682,389",rock,Deep Blue Something
"128,673","1,077,488",italian,Deep Chills
"464,406","4,488,708",House,Deep Dish
"487,166","8,643,190",new age,Deep Forest
"75,459","421,316",turkish,Deep Inside
"2,984,301","80,626,476",hard rock,Deep Purple
,,,Deep Sea Bistro
"6,083","15,213",,deer noir
"1,790,580","46,040,270",hard rock,Def Leppard
"693,461","7,613,909",alternative rock,Default
"4,038,042","520,225,417",Nu Metal,Deftones
"30,207","122,762",House,Degrees Of Motion
"288,015","4,551,124",indie rock,DEHD
"62,743","672,764",gospel,Deitrick Haddon
"483,734","5,304,997",Hip-Hop,DeJ Loaf
"24,721","122,946",Electronic,Deja
"30,187","176,421",heavy metal,Deja Vu
188,675,,DeJohn Sisters
"392,710","4,037,118",rock,Del Amitri
"4,004","42,136",,Del McCoury Band
"38,881","231,605",Country,Del Reeves
"562,734","4,371,527",60s,Del Shannon
"639,851","19,368,339",indie Pop,Del Water Gap
"63,669","422,194",classic rock,Delaney
"547,208","10,770,646",folk,Delaney Bailey
"1,181","6,191",blues,Delbert
"91,146","844,710",blues,Delbert McClinton
"469,229","3,316,224",funk,Delegation
"3,503","17,254",jazz,Delfeayo Marsalis
"59,088","876,678",rock,Delilah Bon
"258,823","2,943,454",Hip-Hop,Delinquent Habits
"25,872","357,808",thrash metal,Deliverance
,,,Deliverance/Eric Weissberg
"9,510","40,798",reggae,Della Humphrey
"81,192","457,702",jazz,Della Reese
"98,503","939,143",funk,Delvon Lamarr Organ Trio
"397,787","2,298,145",Hip-Hop,Dem Franchize Boyz
"3,227,994","190,086,136",Pop,Demi Lovato
"220,401","2,188,602",Pop,Demis Roussos
"1,967","10,180",,Demola
"57,674","554,284",celtic,Denez Prigent
"441,092","2,482,972",soul,Deniece Williams
2,4,,Denine With Collage's Adam Marano
"65,698","307,604",soul,Denise LaSalle
"6,324","36,877",freestyle,Denise Lopez
"71,600","413,895",reggae,DENM
"11,976","46,840",funk,Dennis Coffey
"23,318","180,155",classic rock,Dennis DeYoung
"125,839","561,027",soul,Dennis Edwards
"577,322","7,423,418",indie Pop,Dennis Lloyd
56,77,,Dennis Lucca
"1,055","5,034",,Dennis Yost
784,"2,865",rock n roll,Denny Reed
"1,558,065","147,602,679",Hip-Hop,Denzel Curry
"267,136","1,780,657",jazz,Deodato
280,"1,307",,Deon Estus With George Michael
"17,167","64,980",soul,Deon Jackson
"891,620","9,716,711",House,Deorro
,,,Departure - Tribute To Journey
"4,315,516","286,764,080",Electronic,Depeche Mode
24,447,,Deputy Dan
"1,840","17,025",canada,DeRaps
"917,686","10,483,923",,Derek
"15,204","50,974",soul,Derek Martin
"2,855","27,186",,Derez De'Shon
"1,481","12,976",post-punk,Dermabrasion
"595,033","14,552,980",singer-songwriter,Dermot Kennedy
"2,235","16,440",hard rock,Derringer
"17,889","141,277",Country,Deryl Dodd
