city,state_code,year,num_events,avg_ticket_price,unique_artists,market
Hollywood,CA,2025.0,28,44.661071428571425,16,
Huntington,NY,2025.0,5,33.85166666666667,4,
Huntington,WV,2025.0,1,0.13,1,
Huntsville,AL,2025.0,9,42.9,6,
Indianapolis,IN,2025.0,15,28.382333333333335,11,
Inglewood,CA,2025.0,2,38.5775,2,
Irving,TX,2025.0,4,44.822500000000005,4,
Island Lake,IL,2025.0,6,111.10416666666667,1,
Jackson,MS,2025.0,4,31.068749999999998,4,
Jacksonville,FL,2025.0,17,35.88859375,11,
Jersey City,NJ,2025.0,2,20.020000000000003,2,
Jim Thorpe,PA,2025.0,5,29.305,5,
Joliet,IL,2025.0,15,38.330000000000005,10,
Kansas City,MO,2025.0,22,28.112000000000002,14,
Kansas City ,MO,2025.0,1,65.885,1,
Kingston,NY,2025.0,2,28.9,2,
Lafayette,LA,2025.0,2,109.27250000000001,1,
Lake Tahoe,NV,2025.0,4,29.305,2,
Lakewood,OH,2025.0,27,15.667222222222222,1,
Lancaster,CA,2025.0,3,95.235,2,
Las Vegas,NV,2025.0,226,28.405273224043714,49,Las Vegas
Lawrence,KS,2025.0,1,,1,
Lawrenceburg,IN,2025.0,1,17.19,1,
Leesburg,VA,2025.0,11,37.3965,4,
Lemont,IL,2025.0,4,43.34,0,
Lexington,KY,2025.0,7,52.91571428571428,7,
Libertyville ,IL,2025.0,6,34.3225,1,
Lincoln,CA,2025.0,7,31.767142857142858,7,
Lincoln,NE,2025.0,11,36.46090909090909,6,
Little Rock,AR,2025.0,2,102.27,2,
Los Angeles,CA,2025.0,183,34.53449438202247,118,Los Angeles
Louisville,KY,2025.0,15,26.278000000000002,14,
Madison,WI,2025.0,26,27.067934782608695,25,
Malibu,CA,2025.0,1,0.0,1,
Manchester,NH,2025.0,2,29.305,2,
Maspeth,NY,2025.0,6,19.545,2,
McDonough,GA,2025.0,1,92.64,1,
Memphis,TN,2025.0,3,29.485,3,
Menlo Park,CA,2025.0,3,34.17166666666667,3,
Middletown,NY,2025.0,2,34.45875,2,
Milford,PA,2025.0,4,,0,
Milwaukee,WI,2025.0,23,25.359347826086957,11,
Mobile,AL,2025.0,12,27.41875,6,
Montclair,NJ,2025.0,6,26.607999999999997,4,
Monterey,CA,2025.0,3,23.576666666666668,3,
Montgomery,AL,2025.0,3,26.823333333333334,2,
Mount Clemens,MI,2025.0,1,32.69,0,
Mount Pleasant,MI,2025.0,1,17.19,1,
Mulvane,KS,2025.0,1,17.19,1,
Myrtle Beach,SC,2025.0,1,42.335,1,
Napa,CA,2025.0,32,49.00625,11,
Nashville,IN,2025.0,6,29.326666666666668,6,Nashville
National Harbor,MD,2025.0,8,37.14625,2,
New Bern,NC,2025.0,2,48.9575,1,
New Brunswick,NJ,2025.0,2,31.64,2,
New Haven,CT,2025.0,6,27.285833333333333,3,
New Kent,VA,2025.0,2,19.545,1,
New Orleans,LA,2025.0,125,37.219334677419354,52,
New Philadelphia,OH,2025.0,2,0.0,1,
New York,NY,2025.0,406,49.04233250620348,108,New York
Newport,KY,2025.0,24,20.547083333333333,8,
Newport News,VA,2025.0,1,40.61,1,
Niagara Falls,NY,2025.0,3,53.665,1,
Norfolk,VA,2025.0,5,32.3275,5,
Norman,OK,2025.0,1,31.64,1,
North Little Rock,AR,2025.0,1,31.64,1,
North Myrtle Beach,SC,2025.0,7,25.37875,7,
Northfield,OH,2025.0,4,23.83625,4,
Northridge,CA,2025.0,1,25.52,1,
Oakland,CA,2025.0,21,39.487976190476196,11,
Oklahoma City,OK,2025.0,11,28.373636363636365,8,
Omaha,NE,2025.0,10,26.957500000000003,3,
Ontario,CA,2025.0,1,17.19,1,
Orlando,FL,2025.0,62,15.248454545454544,24,
Ormond Bch,FL,2025.0,1,19.545,1,
Ormond Beach,FL,2025.0,2,15.82,1,
Oxford,AL,2025.0,2,23.247500000000002,2,
Oxford,MS,2025.0,3,22.013333333333335,3,
Oxnard,CA,2025.0,23,35.31704545454546,3,
Palatine,IL,2025.0,7,28.455714285714286,4,
Palmdale,CA,2025.0,10,9.379000000000001,1,
Park City,KS,2025.0,4,12.892500000000002,3,
Pawling,NY,2025.0,16,27.909375,4,
Pensacola,FL,2025.0,5,34.99125,4,
Pinellas Park,FL,2025.0,1,19.545,1,
Pioneertown,CA,2025.0,8,23.355937500000003,8,
Plymouth,MI,2025.0,2,15.82,1,
Pomona,CA,2025.0,3,30.611666666666668,3,
Ponte Vedra Beach,FL,2025.0,1,19.545,1,
Pontiac,MI,2025.0,8,59.028124999999996,1,
Port Chester,NY,2025.0,12,27.714999999999996,10,
Primm,NV,2025.0,3,35.980000000000004,2,
Queens,NY,2025.0,1,42.335,1,
Raleigh,NC,2025.0,10,26.397000000000002,10,
Red Bank,NJ,2025.0,22,31.243823529411763,16,
Richmond,KY,2025.0,1,37.2775,1,
Richmond,VA,2025.0,9,22.45555555555556,8,
Riverside,CA,2025.0,7,28.577857142857145,7,
Rochester,NY,2025.0,18,17.718611111111112,6,
Rockford,IL,2025.0,3,17.19,3,
Rohnert Park,CA,2025.0,1,29.305,1,
Rosemont,IL,2025.0,12,23.707727272727276,7,
Roseville,CA,2025.0,4,19.782500000000002,4,
Royal Oak,MI,2025.0,3,23.320000000000004,3,
Rutherford,NJ,2025.0,8,34.79875,5,
Sacramento,CA,2025.0,13,29.987727272727273,11,
Saginaw,MI,2025.0,3,27.691666666666666,2,
Saint Augustine,FL,2025.0,5,19.798000000000002,4,
Saint Charles,IL,2025.0,3,26.045,3,
Saint Petersburg,FL,2025.0,1,19.545,1,
Salamanca,NY,2025.0,1,53.665,1,
San Francisco,CA,2025.0,102,27.491881188118814,54,San Francisco
San Jose,CA,2025.0,13,109.38199999999999,10,
San Leandro,CA,2025.0,1,42.335,1,
Sanford,FL,2025.0,10,21.4925,2,
Santa Ana,CA,2025.0,1,4.14,1,
Santa Cruz,CA,2025.0,16,22.664375,9,
Savannah,GA,2025.0,2,35.4275,2,
Sayreville,NJ,2025.0,3,25.001666666666665,2,
Schenectady,NY,2025.0,3,29.304999999999996,2,
Scranton,PA,2025.0,2,23.247500000000002,2,
Shipshewana,IN,2025.0,5,14.8025,4,
Silver Spring,MD,2025.0,7,31.909285714285716,7,
South Barrington,IL,2025.0,2,47.662499999999994,1,
South Bend,IN,2025.0,3,23.576666666666668,2,
South Burlington,VT,2025.0,2,18.3675,2,
Southfield,MI,2025.0,1,116.65,1,
Springfield,MA,2025.0,2,17.19,2,
Springfield,MO,2025.0,2,23.247500000000002,2,
St Petersburg,FL,2025.0,4,36.62625,3,
St. Augustine,FL,2025.0,1,19.545,1,
St. Petersburg,FL,2025.0,1,59.495,1,
Stamford,CT,2025.0,5,18.95,4,
Stateline,NV,2025.0,2,17.19,2,
Staten Island,NY,2025.0,3,29.305,3,
Stockton,CA,2025.0,2,,2,
Stone Park,IL,2025.0,2,0.0,0,
Stoughton,WI,2025.0,1,24.895,1,
Sumterville,FL,2025.0,1,29.305,1,
Syracuse,NY,2025.0,41,15.14341463414634,7,
Tampa,FL,2025.0,17,29.2678125,14,
Tarrytown,NY,2025.0,1,29.305,1,
Thackerville,OK,2025.0,3,19.861666666666668,3,
Thousand Oaks,CA,2025.0,2,41.754999999999995,2,
Topeka,KS,2025.0,1,29.305,1,
Tulsa,OK,2025.0,4,19.01,3,
Tuscaloosa,AL,2025.0,2,31.64,2,
Tysons,VA,2025.0,6,22.968333333333334,5,
Ventura,CA,2025.0,4,17.73,3,
Verona,NY,2025.0,2,17.19,2,
Virginia Beach,VA,2025.0,17,38.665769230769236,8,
Wantagh,NY,2025.0,8,35.753125,5,
Warren,MI,2025.0,2,29.305,2,
Washington,DC,2025.0,81,34.765375,58,
Waterloo,NY,2025.0,3,35.239999999999995,3,
Waukegan,IL,2025.0,7,30.884999999999998,7,
West Chester,OH,2025.0,3,22.00666666666667,2,
West Hollywood,CA,2025.0,33,193.98128787878787,20,
West Lafayette,IN,2025.0,4,31.64,2,
West Nyack,NY,2025.0,5,51.15,1,
Westland,MI,2025.0,7,62.89714285714285,1,
Wheatland,CA,2025.0,3,27.49166666666667,3,
White Plains,NY,2025.0,1,,1,
Wichita,KS,2025.0,1,19.545,1,
Wilkes Barre,PA,2025.0,3,8.66,2,
Williamsport,PA,2025.0,1,29.305,1,
Wilmington,NC,2025.0,1,29.305,1,
Winston Salem,NC,2025.0,1,19.545,1,
Winter Park,FL,2025.0,17,19.742941176470588,6,
Worcester,MA,2025.0,7,19.26571428571429,0,
Wyandotte,MI,2025.0,2,43.75,1,
