artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration
Alesso,72.0,4034025.0,56.75,4,0.0,3.2143333333333333
Aleta,28.0,2055.0,21.0,1,0.0,3.972
Alex & Sierra,52.0,1235269.0,69.0,1,0.0,3.0866666666666664
Alex Clare,51.0,502300.0,59.0,1,0.0,4.276
Alex G,74.0,3541646.0,35.0,3,0.6666666666666666,3.330722222222222
Alex Serra,50.0,143740.0,51.0,1,0.0,4.2039333333333335
Alex Warren,84.0,2880337.0,83.4,5,0.0,3.1168199999999997
Alexander 23,52.0,514896.0,68.0,1,0.0,3.0773
Alexander Merlin,27.0,1978.0,21.0,1,0.0,2.7855166666666666
Alexander Nate,45.0,28641.0,48.0,1,0.0,3.4238
Alexandra Savior,45.0,316112.0,0.0,2,0.0,2.9536
Alexandra Stan,60.0,432466.0,76.0,1,0.0,3.25175
Alexandre Desplat,62.0,344334.0,36.75,12,0.0,2.449327777777778
Alexey Omelchuk,37.0,12801.0,40.0,1,0.0,1.0186166666666667
Ali Gatie,64.0,2174956.0,57.5,2,0.0,2.863025
Alice Boman,37.0,47757.0,21.0,1,0.0,3.4522166666666667
Alice In Chains,74.0,6243211.0,77.0,1,0.0,3.4462166666666665
Alicia Keys,78.0,12898539.0,50.25,4,0.0,4.0598875
Alien Ant Farm,58.0,1036648.0,74.0,1,0.0,3.4877666666666665
Alisa Okehazama,47.0,19307.0,42.0,1,0.0,1.7343166666666667
Alison Krauss,59.0,419072.0,54.0,1,0.0,4.3471
Allie X,51.0,869651.0,25.0,2,0.0,3.4077083333333333
Allison Amber Hage,17.0,69.0,25.0,3,0.0,2.796988888888889
Alok,76.0,11247155.0,65.71428571428571,7,0.14285714285714285,2.535738095238095
Altan Urag,17.0,10611.0,24.0,1,0.0,4.590216666666667
Alter Bridge,60.0,1234078.0,67.0,1,0.0,4.33265
Aly & AJ,53.0,696587.0,48.5,2,0.0,3.344325
Amaarae,64.0,577324.0,34.0,1,0.0,2.0658333333333334
Amb1shn,19.0,139.0,37.0,1,1.0,3.0351
Amber Run,58.0,562813.0,74.0,1,0.0,4.55
America,70.0,2065190.0,81.0,1,0.0,4.203983333333333
America Allen,20.0,696.0,33.0,1,0.0,3.5764666666666667
American Authors,62.0,1646684.0,78.0,1,0.0,3.2373333333333334
Aminé,64.0,2022764.0,66.5,2,1.0,2.7582166666666668
Amy Macdonald,63.0,538408.0,77.0,1,0.0,3.07355
Amy Winehouse,75.0,9747371.0,68.33333333333333,3,1.0,3.4907388888888895
Ana Shine,45.0,27568.0,50.25,4,0.0,2.9070333333333336
Ananya,15.0,1068.0,31.0,1,0.0,3.6369166666666666
Anaumali,18.0,148.0,36.0,1,0.0,4.8818166666666665
Andrei Krylov,40.0,25945.0,0.0,1,0.0,3.395583333333333
Andrew Belle,54.0,256468.0,58.0,1,0.0,5.315133333333334
Andy Grammer,65.0,1334256.0,50.0,3,0.0,3.303961111111111
Andy Shauf,49.0,198619.0,47.0,1,0.0,3.8639666666666668
Ane Brun,55.0,354566.0,0.0,1,0.0,2.0808833333333334
Angus & Julia Stone,64.0,1327111.0,0.0,1,0.0,3.9926666666666666
Anitta,78.0,13246794.0,66.5,2,0.0,3.2300833333333334
Anna Calvi,39.0,132370.0,31.666666666666668,3,0.0,3.981622222222222
Anna Kendrick,62.0,390914.0,61.0,1,0.0,2.13355
Anna Marx,34.0,1693.0,38.0,3,0.0,2.3960166666666667
Anna of the North,61.0,286274.0,76.0,1,0.0,3.596216666666667
Annalise Azadian,31.0,5701.0,32.0,1,1.0,2.862216666666667
Anne-Marie,75.0,12845551.0,73.5,2,0.5,2.710983333333333
Anson Seabra,59.0,1103242.0,62.0,1,0.0,3.6144
Anthem Hits Platinum,23.0,1636.0,26.0,1,0.0,2.96475
Anthony Touma,20.0,3260.0,31.0,1,0.0,2.8529333333333335
Anthony Willis,35.0,5351.0,36.0,1,0.0,1.8522166666666666
Antonin Herbeck,27.0,268.0,36.0,1,0.0,3.8924666666666665
Antony Genn,25.0,2951.0,0.0,1,0.0,4.784883333333333
Apollo Sunshine,26.0,8128.0,42.0,1,0.0,2.546883333333333
Aqua,63.0,779228.0,75.0,1,0.0,3.2993333333333332
Arcade Fire,62.0,2397896.0,55.0,1,0.0,4.787333333333334
Arcane,76.0,771281.0,65.2,5,0.2,2.8579066666666666
Arctic Monkeys,84.0,32059138.0,79.8,10,0.0,3.58039
Arcángel,82.0,17833538.0,69.0,1,1.0,4.26155
Aresty.,17.0,4.0,35.0,1,0.0,2.7222166666666667
Ari Abdul,66.0,754907.0,54.714285714285715,7,0.42857142857142855,3.0105690476190476
Ari Pulkkinen,35.0,20991.0,32.0,1,0.0,3.28535
Ariana Grande,90.0,107374593.0,63.10891089108911,101,0.40594059405940597,3.3603948844884486
Arizona Zervas,59.0,817341.0,74.0,1,1.0,2.7272666666666665
Arlo Parks,53.0,650334.0,55.0,1,0.0,3.61555
Armani White,58.0,620939.0,65.0,1,1.0,1.6547
Armin van Buuren,73.0,4533003.0,72.0,1,0.0,3.406
Artemas,74.0,1377042.0,54.142857142857146,14,0.21428571428571427,2.3549261904761907
Arya,23.0,1867.0,38.0,1,0.0,3.0204
Asaf Avidan,58.0,447612.0,48.0,2,0.0,3.4871
Asal,59.0,135959.0,52.5,2,0.0,2.7487250000000003
Ascence,54.0,10450.0,28.0,1,0.0,2.159666666666667
Ashanti,70.0,3561441.0,61.0,1,0.0,3.1051
Ashe,69.0,2554758.0,69.75,4,1.0,3.5328541666666666
Ashlee Keating,23.0,2754.0,41.0,1,0.0,2.4324166666666667
Ashley Johnson,44.0,36322.0,54.0,1,0.0,3.2264666666666666
Ashley Tisdale,49.0,1327604.0,34.0,2,0.0,2.9836666666666667
Ashnikko,71.0,2613864.0,61.8,5,0.6,2.7433266666666665
Ashris,29.0,2339.0,0.0,1,0.0,2.7438166666666666
Ashwin Gane,47.0,2695.0,52.0,1,1.0,3.216666666666667
Astrid S,62.0,1379500.0,69.0,2,0.0,3.4788
AthenaDME,22.0,178.0,37.0,1,0.0,2.159283333333333
Atli Örvarsson,41.0,18164.0,7.0,2,0.0,3.3491
Au/Ra,60.0,597593.0,67.0,1,0.0,3.9628666666666668
Audio Dope,31.0,15288.0,32.0,1,0.0,3.9497833333333334
Audioslave,69.0,5146839.0,74.33333333333333,3,0.0,4.726516666666666
Audrey Evans,4.0,30.0,18.0,1,0.0,1.6522166666666667
Austin Wintory,47.0,55542.0,31.0,3,0.0,2.7265722222222224
Ava Beathard,26.0,7366.0,38.0,1,0.0,3.6644
Ava Max,77.0,7750481.0,51.166666666666664,6,0.0,2.8885055555555557
Avicii,79.0,23434221.0,53.142857142857146,14,0.07142857142857142,3.5556214285714285
Avril Lavigne,76.0,12004691.0,47.916666666666664,24,0.2916666666666667,3.635654166666667
Avu-chan,22.0,855.0,41.0,1,0.0,5.822433333333334
Axwell /\ Ingrosso,63.0,2534676.0,78.0,1,0.0,3.3833333333333333
Aya Nakamura,70.0,5545344.0,66.5,2,0.0,2.821416666666667
Ayesha Erotica,0.0,127548.0,0.0,1,1.0,4.861533333333333
Azealia Banks,59.0,1134449.0,1.0,1,1.0,2.8016
B.o.B,74.0,2265465.0,68.4,5,0.2,3.7550200000000005
BADBADNOTGOOD,62.0,879067.0,69.0,1,0.0,4.5644
BAMBARA,30.0,29328.0,35.0,1,0.0,4.957766666666667
BANKS,56.0,1078897.0,47.0,2,1.0,3.027683333333333
BANNERS,62.0,732382.0,71.0,2,0.0,3.6633416666666667
BEAUZ,58.0,210575.0,41.666666666666664,3,0.0,2.6368388888888887
BENEE,62.0,869770.0,62.0,2,1.0,3.7247333333333335
BETHY,18.0,824.0,34.0,1,0.0,4.065
BETWEEN FRIENDS,61.0,324920.0,0.25,4,0.5,3.144095833333333
BEXEY,46.0,194007.0,0.0,1,1.0,1.625
