artist_name,secondary_market_events,avg_secondary_price,avg_price_volatility,avg_price_range,avg_active_listings,avg_daily_price_change,high_demand_rate,high_volatility_rate,premium_pricing_rate,avg_price_observations,artist_name_std
Brooklyn Nets at Dallas Mavericks,1,29.56,0.5882343308141005,97.71,,18.610000000000003,0.0,1.0,0.0,120.0,brooklyn nets at dallas mavericks
Bryan Adams,1,70.41,0.1899662362016943,42.690000000000005,4.0,8.261724137931036,0.0,0.0,0.0,120.0,bryan adams
Buffalo Sabres at Calgary Flames,1,9.64,0.4002060332889056,18.97,883.0,4.1658620689655175,1.0,1.0,0.0,120.0,buffalo sabres at calgary flames
Buffalo Sabres at Edmonton Oilers,1,28.89,0.2672432109214491,36.76,,8.734827586206897,0.0,1.0,0.0,120.0,buffalo sabres at edmonton oilers
Buffalo Sabres at Vancouver Canucks,1,34.705,0.1591122104575529,19.93,,5.774137931034482,0.0,0.0,0.0,120.0,buffalo sabres at vancouver canucks
"Bulls, Bands and Barrels featuring Ella Langley & Braxton Keith",1,88.36,0.1618510265748944,37.88000000000001,,17.058333333333334,0.0,0.0,1.0,14.0,"bulls, bands and barrels featuring ella langley & braxton keith"
Burna Boy,3,49.54,0.1921497203655669,42.23,,8.196551724137931,0.0,0.3333333333333333,0.0,120.0,burna boy
Bush,1,56.185,0.2131876655627508,35.60999999999999,585.0,7.791724137931034,1.0,1.0,0.0,120.0,bush
Cake,1,91.16,0.5531360156831775,297.98,116.0,41.83137931034483,0.0,1.0,1.0,120.0,cake
Cake and Myles Smith,1,72.27000000000001,0.2383765721523463,56.92,83.0,4.973793103448276,0.0,1.0,0.0,120.0,cake and myles smith
Calgary Flames at Los Angeles Kings,1,41.25,0.488288508336242,90.31,973.0,15.057586206896552,1.0,1.0,0.0,120.0,calgary flames at los angeles kings
Carolina Ballet - The Nutcracker,1,43.29,0.263388380186682,31.32,883.0,19.0775,1.0,1.0,0.0,10.0,carolina ballet - the nutcracker
Carolina Hurricanes at Philadelphia Flyers,1,63.77,0.1787064248570925,59.5,,10.884827586206896,0.0,0.0,0.0,120.0,carolina hurricanes at philadelphia flyers
Carolina Hurricanes at Washington Capitals,1,39.36,0.1996237290072283,34.51,,6.505172413793103,0.0,1.0,0.0,120.0,carolina hurricanes at washington capitals
Cash Money Millionaires,1,53.055,0.5880181453717795,161.42000000000002,566.0,18.410689655172416,1.0,1.0,0.0,120.0,cash money millionaires
CeCe Winans,3,58.26,0.156898782540072,44.623333333333335,248.33333333333334,6.650919540229885,0.6666666666666666,0.6666666666666666,0.3333333333333333,120.0,cece winans
Celtic Woman,1,81.79,0.2480197630774368,62.690000000000005,265.0,21.24,1.0,1.0,1.0,68.0,celtic woman
Chance Pena,3,47.846666666666664,0.27699778262059355,39.723333333333336,43.666666666666664,10.775833333333333,0.0,0.6666666666666666,0.0,10.0,chance pena
"Channel 95.5's Jingle Ball with Conan Gray, Jessie Murph, Zara Larsson and many more",1,58.8,0.1845470537100821,49.85000000000001,,7.892068965517241,0.0,0.0,0.0,120.0,"channel 95.5's jingle ball with conan gray, jessie murph, zara larsson and many more"
Chevelle,1,55.83,0.820968713921569,181.98,111.0,46.55,0.0,1.0,0.0,10.0,chevelle
Chicago Blackhawks at St. Louis Blues,1,72.225,0.3316333396158047,116.19,,24.541724137931038,0.0,1.0,0.0,120.0,chicago blackhawks at st. louis blues
Chris Isaak,1,73.6,0.0720550966719659,9.980000000000004,254.0,9.829999999999998,1.0,0.0,0.0,6.0,chris isaak
Chris Lake,3,67.30666666666666,0.08681789257744764,20.023333333333337,80.66666666666667,2.4585057471264364,0.0,0.0,0.0,120.0,chris lake
Chris Tucker,1,88.99,0.0854814870363426,16.519999999999996,457.0,11.265,1.0,0.0,1.0,6.0,chris tucker
Christian Nodal,1,55.09,0.3982133562093763,102.91,,24.86206896551724,0.0,1.0,0.0,120.0,christian nodal
Christmas Spectacular Starring The Radio City Rockettes,19,107.27815789473685,0.20334669241242498,84.54894736842105,634.5,16.371234119782212,0.3157894736842105,0.3157894736842105,0.8421052631578947,120.0,christmas spectacular starring the radio city rockettes
Ciro y los Persas,1,,,,142.0,,0.0,0.0,0.0,,ciro y los persas
Cirque du Soleil - Michael Jackson One,1,127.33,0.3719127751789888,178.65999999999997,440.0,42.460344827586205,1.0,1.0,1.0,120.0,cirque du soleil - michael jackson one
Cliff Richard,2,30.88,0.471350687715601,64.415,48.5,16.003793103448274,0.0,1.0,0.0,120.0,cliff richard
Cody Jinks,2,151.885,0.17938551644605844,108.33500000000001,,27.74448275862069,0.0,0.0,1.0,120.0,cody jinks
Colbie Caillat and Gavin DeGraw Christmas Tour 2025,1,62.385,0.2554667334195383,59.02,374.0,14.465172413793104,1.0,1.0,0.0,120.0,colbie caillat and gavin degraw christmas tour 2025
Colorado Avalanche at Nashville Predators,1,9.505,0.514044646698612,30.200000000000003,,5.358965517241379,0.0,1.0,0.0,120.0,colorado avalanche at nashville predators
Colter Wall,4,44.95625,0.28485256803453957,52.1125,592.0,9.093017241379311,0.75,0.75,0.0,120.0,colter wall
