lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name,plays_per_listener,artist_name_std
920853.0,23417263.0,singer-songwriter,Alice Phoebe Lou,25.42996873550936,alice phoebe lou
217341.0,1753935.0,soul,Alice Smith,8.069968390685604,alice smith
1209.0,3667.0,spanish,Alice Wonder Land,3.033085194375517,alice wonder land
138519.0,639045.0,Disco,Alicia Bridges,4.613410434669612,alicia bridges
4086537.0,98885882.0,soul,Alicia Keys,24.19796566139007,alicia keys
,,Unknown,Alicia Moffett,,alicia moffett
54160.0,385430.0,latin,Alicia Villarreal,7.116506646971935,alicia villarreal
2392.0,22787.0,female vocalists,Alicia Witt,9.52633779264214,alicia witt
1618654.0,21259721.0,alternative rock,Alien Ant Farm,13.134197302202942,alien ant farm
91845.0,1501463.0,instrumental,Alisa Okehazama,16.347792476454895,alisa okehazama
11183.0,70977.0,cello,Alisa Weilerstein,6.3468657784136635,alisa weilerstein
4497.0,76994.0,Country,Alisan Porter,17.12119190571492,alisan porter
46203.0,301258.0,freestyle,Alisha,6.52031253381815,alisha
27446.0,1201400.0,bluegrass,Alison Brown,43.773227428404866,alison brown
4486.0,13041.0,progressive black metal,Alison Gold,2.9070441373160945,alison gold
566712.0,6729049.0,bluegrass,Alison Krauss,11.873842445545533,alison krauss
33.0,226.0,Unknown,Alison Krauss + Union Station,6.848484848484849,alison krauss + union station
391619.0,3961015.0,female vocalists,Alison Moyet,10.114460738626063,alison moyet
305337.0,5613200.0,tRap,Alison Wonderland,18.383622030739804,alison wonderland
20783.0,133337.0,post-hardcore,Alive,6.415676273877689,alive
8108.0,39941.0,american,Alive 'N Kickin',4.9261223482979775,alive 'n kickin'
2.0,44.0,Unknown,ALL (H)OURS,22.0,all (h)ours
12881.0,84800.0,Hip-Hop,All City,6.5833398028103405,all city
,,Unknown,All Good Now,,all good now
54306.0,1237444.0,hardcore,All Out War,22.786506095090783,all out war
836745.0,9538356.0,Pop,All Saints,11.399358227416956,all saints
140.0,2286.0,AOR,All Sports Band,16.32857142857143,all sports band
6654.0,45332.0,Pop,All Star Tribute,6.812744214006613,all star tribute
288781.0,7928337.0,Stoner Rock,All Them Witches,27.45449666009883,all them witches
2486850.0,140745819.0,Pop Punk,All Time Low,56.59602267929308,all time low
,,Unknown,All You Need is George,,all you need is george
2838.0,14987.0,Unknown,All Your Friends,5.280831571529246,all your friends
331852.0,1791051.0,RnB,All-4-One,5.397137880742018,all-4-one
1589.0,14771.0,The Hollies,Allan Clarke,9.295783511642542,allan clarke
66128.0,341530.0,comedy,Allan Sherman,5.16468061940479,allan sherman
,,Unknown,Allen Aucoin,,allen aucoin
203544.0,2399212.0,soul,Allen Stone,11.78719097590693,allen stone
45435.0,788769.0,EDM,ALLEYCVT,17.36038296467481,alleycvt
821031.0,38873131.0,SynthPop,Allie X,47.346727468268554,allie x
483.0,715.0,Unknown,Allison Amber Hage,1.4803312629399585,allison amber hage
1.0,9.0,Unknown,Allman Family Revival,9.0,allman family revival
