city,year,week,num_events,temperature_avg_week,precipitation_total_week
Duluth,2025,52,1,,
Durant,2025,49,1,,
Durant,2025,50,2,,
Durant,2025,52,1,,
Durham,2025,51,2,,
East Lansing,2025,51,1,,
Elizabeth,2025,50,1,,
Elkhart,2025,50,1,,
Elmira,2025,50,2,,
Emporia,2025,50,1,,
Englewood,2025,1,1,,
Englewood,2025,50,6,,
Englewood,2025,51,4,,
Englewood,2025,52,1,,
Evanston,2025,1,3,,
Evanston,2025,49,2,,
Evanston,2025,50,8,,
Evanston,2025,51,11,,
Evanston,2025,52,4,,
Fairfax,2025,51,2,,
Fayetteville,2025,49,1,,
Fayetteville,2025,50,1,,
Felton,2025,50,2,,
Felton,2025,51,1,,
Ferndale,2025,49,2,,
Ferndale,2025,50,5,,
Ferndale,2025,51,4,,
Ferndale,2025,52,2,,
Flint,2025,50,4,,
Flint,2025,51,1,,
Flushing,2025,51,1,,
Fontana,2025,50,2,,
Fontana,2025,51,4,,
Fontana,2025,52,2,,
Fort Collins,2025,50,2,,
Fort Collins,2025,51,1,,
Fort Smith,2025,50,1,,
Fort Smith,2025,51,1,,
Fort Wayne,2025,50,3,,
Fort Wayne,2025,51,1,,
Fort Worth,2025,1,1,,
Fort Worth,2025,49,3,,
Fort Worth,2025,50,9,,
Fort Worth,2025,51,5,,
Fort Worth,2025,52,6,,
French Lick,2025,51,1,,
Frisco,2025,22,1,,
Garden Grove,2025,49,1,,
Garden Grove,2025,50,3,,
Garden Grove,2025,51,4,,
Garden Grove,2025,52,2,,
Gary,2025,49,1,,
Gary,2025,50,1,,
Glendale,2025,51,4,,
Grain Valley,2025,51,1,,
Grand Island,2025,50,1,,
Grand Island,2025,51,1,,
Grand Prairie,2025,50,5,,
Grand Prairie,2025,52,1,,
Grand Rapids,2025,1,1,,
Grand Rapids,2025,49,4,,
Grand Rapids,2025,50,9,,
Grand Rapids,2025,51,9,,
Grand Rapids,2025,52,6,,
Grant,2025,52,1,,
Greensboro,2025,49,1,,
Greensboro,2025,51,1,,
Greenville,2025,52,1,,
Grove City,2025,51,2,,
Gulfport,2025,49,1,,
Hammond,2025,52,4,,
Hampton,2025,49,1,,
Hamtramck,2025,49,2,,
Hamtramck,2025,50,9,,
Hamtramck,2025,51,3,,
Hamtramck,2025,52,2,,
Hanover,2025,1,1,,
Hattiesburg,2025,49,1,,
Hattiesburg,2025,50,2,,
Hattiesburg,2025,51,1,,
Henderson,2025,50,1,,
Hesperia,2025,50,1,,
Hickory,2025,50,1,,
Hickory,2025,51,1,,
Hickory,2025,52,1,,
Highland,2025,1,1,,
Highland,2025,50,3,,
Highland,2025,51,1,,
Hobart,2025,49,1,,
Hobart,2025,50,3,,
Hobart,2025,51,2,,
Hobart,2025,52,1,,
Holland,2025,50,1,,
Holly,2025,51,1,,
Hollywood,2025,1,3,,
Hollywood,2025,49,4,,
Hollywood,2025,50,11,,
Hollywood,2025,51,5,,
Hollywood,2025,52,5,,
Huntington,2025,50,3,,
Huntington,2025,51,1,,
Huntington,2025,52,2,,
Huntsville,2025,49,3,,
Huntsville,2025,50,3,,
Huntsville,2025,51,1,,
Huntsville,2025,52,2,,
Indianapolis,2025,49,4,,
Indianapolis,2025,50,3,,
Indianapolis,2025,51,7,,
Indianapolis,2025,52,1,,
Inglewood,2025,50,1,,
Inglewood,2025,52,1,,
Irving,2025,50,3,,
Irving,2025,51,1,,
Island Lake,2025,49,1,,
Island Lake,2025,50,2,,
Island Lake,2025,51,1,,
Island Lake,2025,52,2,,
Jackson,2025,50,1,,
Jackson,2025,51,2,,
Jackson,2025,52,1,,
Jacksonville,2025,1,1,,
Jacksonville,2025,49,2,,
Jacksonville,2025,50,2,,
Jacksonville,2025,51,11,,
Jacksonville,2025,52,1,,
Jersey City,2025,50,1,,
Jersey City,2025,51,1,,
Jim Thorpe,2025,49,1,,
Jim Thorpe,2025,50,2,,
Jim Thorpe,2025,51,1,,
Jim Thorpe,2025,52,1,,
Joliet,2025,49,2,,
Joliet,2025,50,6,,
Joliet,2025,51,5,,
Joliet,2025,52,2,,
Kansas City,2025,49,6,,
Kansas City,2025,50,10,,
Kansas City,2025,51,5,,
Kansas City,2025,52,1,,
Kansas City ,2025,50,1,,
Kingston,2025,1,1,,
Kingston,2025,51,1,,
Lafayette,2025,2,1,,
Lafayette,2025,51,1,,
Lake Tahoe,2025,1,2,,
Lake Tahoe,2025,49,2,,
Lakewood,2025,1,3,,
Lakewood,2025,49,3,,
Lakewood,2025,50,8,,
Lakewood,2025,51,6,,
Lakewood,2025,52,7,,
Lancaster,2025,50,1,,
Lancaster,2025,51,2,,
Las Vegas,2025,1,25,,
Las Vegas,2025,41,4,,
Las Vegas,2025,49,20,,
Las Vegas,2025,50,66,,
Las Vegas,2025,51,55,,
Las Vegas,2025,52,56,,
Lawrence,2025,50,1,,
Lawrenceburg,2025,50,1,,
Leesburg,2025,49,1,,
Leesburg,2025,50,4,,
Leesburg,2025,51,2,,
Leesburg,2025,52,4,,
Lemont,2025,49,1,,
Lemont,2025,51,2,,
Lemont,2025,52,1,,
Lexington,2025,49,1,,
Lexington,2025,50,6,,
Libertyville ,2025,50,2,,
Libertyville ,2025,51,2,,
Libertyville ,2025,52,2,,
Lincoln,2025,49,2,,
Lincoln,2025,50,7,,
Lincoln,2025,51,5,,
Lincoln,2025,52,4,,
Little Rock,2025,50,1,,
Little Rock,2025,52,1,,
Los Angeles,2025,1,5,,
Los Angeles,2025,49,14,,
Los Angeles,2025,50,90,,
Los Angeles,2025,51,56,,
Los Angeles,2025,52,18,,
Louisville,2025,49,2,,
Louisville,2025,50,8,,
Louisville,2025,51,5,,
Madison,2025,1,2,,
Madison,2025,49,3,,
Madison,2025,50,12,,
Madison,2025,51,8,,
Madison,2025,52,1,,
Malibu,2025,50,1,,
Manchester,2025,50,1,,
Manchester,2025,51,1,,
Maspeth,2025,50,5,,
Maspeth,2025,51,1,,
McDonough,2025,49,1,,
Memphis,2025,49,1,,
Memphis,2025,51,1,,
Memphis,2025,52,1,,
Menlo Park,2025,49,1,,
Menlo Park,2025,50,1,,
Menlo Park,2025,51,1,,
Middletown,2025,49,1,,
Middletown,2025,50,1,,
Milford,2025,49,1,,
Milford,2025,51,3,,
Milwaukee,2025,1,3,,
Milwaukee,2025,49,3,,
Milwaukee,2025,50,5,,
Milwaukee,2025,51,7,,
Milwaukee,2025,52,5,,
Mobile,2025,49,2,,
Mobile,2025,50,6,,
Mobile,2025,51,2,,
Mobile,2025,52,2,,
Montclair,2025,49,2,,
Montclair,2025,50,3,,
Montclair,2025,51,1,,
Monterey,2025,50,2,,
Monterey,2025,52,1,,
Montgomery,2025,50,3,,
Mount Clemens,2025,49,1,,
Mount Pleasant,2025,50,1,,
Mulvane,2025,51,1,,
Myrtle Beach,2025,51,1,,
Napa,2025,1,5,,
Napa,2025,49,4,,
Napa,2025,50,9,,
Napa,2025,51,8,,
Napa,2025,52,6,,
Nashville,2025,50,3,,
Nashville,2025,51,2,,
Nashville,2025,52,1,,
National Harbor,2025,50,5,,
National Harbor,2025,51,3,,
New Bern,2025,50,2,,
New Brunswick,2025,50,2,,
New Haven,2025,49,2,,
New Haven,2025,50,2,,
New Haven,2025,51,2,,
New Kent,2025,52,2,,
New Orleans,2025,1,11,,
New Orleans,2025,49,10,,
New Orleans,2025,50,39,,
New Orleans,2025,51,41,,
New Orleans,2025,52,24,,
New Philadelphia,2025,51,2,,
New York,2025,1,35,,
New York,2025,49,33,,
New York,2025,50,135,,
New York,2025,51,123,,
New York,2025,52,80,,
Newport,2025,49,1,,
Newport,2025,50,9,,
Newport,2025,51,10,,
Newport,2025,52,4,,
Newport News,2025,50,1,,
Niagara Falls,2025,50,3,,
Norfolk,2025,49,1,,
Norfolk,2025,50,1,,
Norfolk,2025,51,3,,
Norman,2025,52,1,,
North Little Rock,2025,50,1,,
North Myrtle Beach,2025,1,1,,
North Myrtle Beach,2025,50,1,,
North Myrtle Beach,2025,51,3,,
North Myrtle Beach,2025,52,2,,
Northfield,2025,49,1,,
Northfield,2025,50,3,,
Northridge,2025,49,1,,
Oakland,2025,1,4,,
Oakland,2025,49,4,,
Oakland,2025,50,9,,
Oakland,2025,51,2,,
Oakland,2025,52,2,,
Oklahoma City,2025,49,2,,
Oklahoma City,2025,50,8,,
Oklahoma City,2025,51,1,,
Omaha,2025,50,6,,
Omaha,2025,51,4,,
Ontario,2025,50,1,,
Orlando,2025,1,5,,
Orlando,2025,49,5,,
Orlando,2025,50,24,,
Orlando,2025,51,19,,
Orlando,2025,52,9,,
Ormond Bch,2025,50,1,,
Ormond Beach,2025,51,2,,
Oxford,2025,50,3,,
Oxford,2025,51,2,,
Oxnard,2025,1,2,,
Oxnard,2025,49,2,,
Oxnard,2025,50,7,,
Oxnard,2025,51,8,,
Oxnard,2025,52,4,,
Palatine,2025,50,2,,
Palatine,2025,51,3,,
Palatine,2025,52,2,,
Palmdale,2025,50,6,,
Palmdale,2025,51,2,,
Palmdale,2025,52,2,,
Park City,2025,1,1,,
Park City,2025,51,2,,
