event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_years_active,year,month,dayofweek,avg_price,price_range,is_sold_out,tickets_per_posting,artist_std,event_datetime,date_only,hour,day_of_week,is_weekend,temperature,precipitation,weather_condition
9511148,2016-04-17 23:30:00,Amon Amarth with Entombed and Exmortus,The Tabernacle Atlanta,54.42,229.0,16,96,Atlanta,GA,Live Nation,NoPriceClass,0,216859,35,,2016,4,6,141.71,174.57999999999998,0,6.0,amon amarth with entombed and exmortus,2016-04-17 23:30:00,2016-04-17,23,6,1,,,
9511153,2016-04-23 21:30:00,Amon Amarth with Entombed and Exmortus,House of Blues Boston,48.51,129.0,26,125,Boston,MA,Live Nation,NoPriceClass,0,216859,41,,2016,4,5,88.755,80.49000000000001,0,4.807692307692308,amon amarth with entombed and exmortus,2016-04-23 21:30:00,2016-04-23,21,5,1,,,
9511161,2016-05-06 00:30:00,Amon Amarth with Entombed and Exmortus,Riviera Theatre (Chicago),55.6,75.0,5,14,Chicago,IL,NoResults,NoResults,NoResults,NoResults,53,,2016,5,4,65.3,19.4,0,2.8,amon amarth with entombed and exmortus,2016-05-06 00:30:00,2016-05-06,0,4,0,,,
9511144,2016-04-13 00:30:00,Amon Amarth with Entombed and Exmortus,House of Blues Dallas,52.76,197.0,21,103,Dallas,TX,Live Nation,NoPriceClass,0,216859,30,,2016,4,2,124.88,144.24,0,4.904761904761905,amon amarth with entombed and exmortus,2016-04-13 00:30:00,2016-04-13,0,2,0,,,
9511146,2016-04-16 00:00:00,Amon Amarth with Entombed and Exmortus,House of Blues Houston,52.76,149.0,15,89,Houston,TX,Live Nation,NoPriceClass,0,216859,33,,2016,4,5,100.88,96.24,0,5.933333333333334,amon amarth with entombed and exmortus,2016-04-16 00:00:00,2016-04-16,0,5,1,,,
9511140,2016-05-22 02:00:00,Amon Amarth with Entombed and Exmortus,Wiltern Theatre,54.29,129.0,22,110,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,69,,2016,5,6,91.645,74.71000000000001,0,5.0,amon amarth with entombed and exmortus,2016-05-22 02:00:00,2016-05-22,2,6,1,,,
9511139,2016-05-19 03:00:00,Amon Amarth with Entombed and Exmortus,Roseland Theater,59.12,54.72,4,25,Portland,OR,NoResults,NoResults,NoResults,NoResults,66,,2016,5,3,56.92,-4.399999999999999,0,6.25,amon amarth with entombed and exmortus,2016-05-19 03:00:00,2016-05-19,3,3,0,,,
9520495,2016-05-08 01:00:00,An Evening with Graham Nash,Granada Theater Dallas,150.0,401.35,5,10,Dallas,TX,NoResults,NoResults,NoResults,NoResults,55,,2016,5,6,275.675,251.35,0,2.0,an evening with graham nash,2016-05-08 01:00:00,2016-05-08,1,6,1,,,
9478618,2016-03-22 02:00:00,An Evening with Greg Dulli,The Triple Door,87.44,69.65,1,4,Seattle,WA,NoResults,NoResults,NoResults,NoResults,8,,2016,3,1,78.545,-17.789999999999992,0,4.0,an evening with greg dulli,2016-03-22 02:00:00,2016-03-22,2,1,0,,,
9508178,2016-03-22 05:00:00,An Evening with Greg Dulli,The Triple Door,52.45,63.0,2,8,Seattle,WA,NoResults,NoResults,NoResults,NoResults,8,,2016,3,1,57.725,10.549999999999995,0,4.0,an evening with greg dulli,2016-03-22 05:00:00,2016-03-22,5,1,0,,,
