city,year,month,num_events,temperature_avg_month,precipitation_total_month
Pontiac,2025,12,8,,
Port Chester,2025,12,12,,
Primm,2025,12,3,,
Queens,2025,12,1,,
Raleigh,2025,12,10,,
Red Bank,2025,12,22,,
Richmond,2025,12,10,,
Riverside,2025,12,7,,
Rochester,2025,12,18,,
Rockford,2025,12,3,,
Rohnert Park,2025,12,1,,
Rosemont,2025,12,12,,
Roseville,2025,12,4,,
Royal Oak,2025,12,3,,
Rutherford,2025,12,8,,
Sacramento,2025,6,1,,
Sacramento,2025,12,12,,
Saginaw,2025,12,3,,
Saint Augustine,2025,12,5,,
Saint Charles,2025,12,3,,
Saint Petersburg,2025,12,1,,
Salamanca,2025,12,1,,
San Francisco,2025,12,102,,
San Jose,2025,12,13,,
San Leandro,2025,12,1,,
Sanford,2025,12,10,,
Santa Ana,2025,12,1,,
Santa Cruz,2025,12,16,,
Savannah,2025,12,2,,
Sayreville,2025,12,3,,
Schenectady,2025,12,3,,
Scranton,2025,12,2,,
Shipshewana,2025,12,5,,
Silver Spring,2025,12,7,,
South Barrington,2025,12,2,,
South Bend,2025,12,3,,
South Burlington,2025,12,2,,
Southfield,2025,12,1,,
Springfield,2025,12,4,,
St Petersburg,2025,12,4,,
St. Augustine,2025,12,1,,
St. Petersburg,2025,12,1,,
Stamford,2025,12,5,,
Stateline,2025,12,2,,
Staten Island,2025,12,3,,
Stockton,2025,12,2,,
Stone Park,2025,12,2,,
Stoughton,2025,12,1,,
Sumterville,2025,12,1,,
Syracuse,2025,4,1,,
Syracuse,2025,12,40,,
Tampa,2025,12,17,,
Tarrytown,2025,12,1,,
Thackerville,2025,12,3,,
Thousand Oaks,2025,12,2,,
Topeka,2025,12,1,,
Tulsa,2025,12,4,,
Tuscaloosa,2025,12,2,,
Tysons,2025,12,6,,
Ventura,2025,12,4,,
Verona,2025,12,2,,
Virginia Beach,2025,12,17,,
Wantagh,2025,12,8,,
Warren,2025,12,2,,
Washington,2025,12,81,,
Waterloo,2025,12,3,,
Waukegan,2025,12,7,,
West Chester,2025,12,3,,
West Hollywood,2025,12,33,,
West Lafayette,2025,12,4,,
West Nyack,2025,12,5,,
Westland,2025,12,7,,
Wheatland,2025,12,3,,
White Plains,2025,12,1,,
Wichita,2025,12,1,,
Wilkes Barre,2025,12,3,,
Williamsport,2025,12,1,,
Wilmington,2025,12,1,,
Winston Salem,2025,12,1,,
Winter Park,2025,12,17,,
Worcester,2025,12,7,,
Wyandotte,2025,12,2,,
